item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
Filipino Recipe Ingredients,PHMIS-001,PHMIS-001,liver spread,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-002,PHMIS-002,paprika powder color,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-003,PHMIS-003,celery,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-004,PHMIS-004,all-purpose seasoning powder,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-013,PHMIS-013,Calabasa (squash),g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-014,PHMIS-014,String beans (sitaw),g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-018,PHMIS-018,Green Papaya or Chayote (Sayote),g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-005,PHMIS-005,mung beans rinsed drained,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-006,PHMIS-006,Bitter melon (ampalaya),g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-007,PHMIS-007,50g total Tamarind Soup Mix,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-016,PHMIS-016,taro root halved,g,0,100,,none,,,
Filipino Recipe Ingredients,PHMIS-008,PHMIS-008,daikon radish,g,0,100,,none,,,
