file,recipe_name,source_line,parsed_name,quantity_for_10,upload_quantity_1_serving,upload_unit,item_code,mapped_ingredient_name,match_status
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"4 lbs (approx. 2 kg) beef chuck or bottom round, cut into 2-inch cubes",Beef,1814.3695,181.44,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,1/2 cup,Cooking Oil,0.12,0.012,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"4 large, peeled and cut into 2-inch cubes",Potatoes,720,72,g,PR000022,POTATO (LOCAL),mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"4 large, peeled and cut into 2-inch cubes",Carrots,400,40,g,PR000026,CARROT (AUSTALIA/CHINA),mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"2 large, peeled and chopped",Onions,300,30,g,PR000020,DRY ONION (LOCAL),mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"8 cloves, peeled and minced",Garlic,24,2.4,g,PR000018,GARLIC (CHINA),mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,4 cups,Tomato Sauce,0.96,0.096,l,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,1/4 cup,Tomato Paste,60,6,g,103023,TAFGA LUNA TOMATO PASTE 24/400G,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,4 cups,Water or Beef Broth,0.96,0.096,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"15–20 pieces, minced (adjust for desired heat)",Thai Chili Peppers (Siling Labuyo),2625,262.5,g,PR000009,GREEN PEPPER (LBN),mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,1 cup (adds signature richness and thickness),Liver Spread,240,24,g,PHMIS-001,Liver Spread,generated_missing
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"1 cup, shredded or cubed",Cheddar Cheese,240,24,g,171301,TAFGA SLICED CHEESE 9/800G,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"1 cup, pitted",Green Olives,240,24,g,191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,2 medium (1 red,Bell Peppers,300,30,g,PR000009,GREEN PEPPER (LBN),mapped
Beef Caldareta Philippines recipe 10 persons.docx,Beef Caldareta Philippines,"1 green), sliced into cubes",Bell Peppers,1,0.1,g,PR000009,GREEN PEPPER (LBN),mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,"3 to 4 lbs beef sirloin or chuck steak, sliced thin",beef sirloin chuck steak thin,1587.5733,158.76,g,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,1 & 1/4 cups soy sauce,soy sauce,0.3,0.03,l,100782,TAFGA MAKATI SOY SAUCE 12/750ML,mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,1/2 cup calamansi juice (or substitute fresh lemon/lime juice),calamansi juice,120,12,g,PR000090,LEMON (AFRICAN/TURKEY),mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,1 tsp ground black pepper,black pepper,2.7,0.27,g,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,"8 cloves garlic, minced",garlic,24,2.4,g,PR000018,GARLIC (CHINA),mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,"4 large white onions, sliced into rings",white onions rings,600,60,g,PR000049,ONION (WHITE),mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,6 tbsp cooking oil (divided),cooking oil,0.09,0.009,l,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,2 & 1/2 cups water,water,0.6,0.06,l,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,mapped
Beef Steak Philippines recipe 10 persons.docx,Beef Steak Philippines,"1 tbsp brown sugar or sugar (optional, to balance saltiness)",brown sugar sugar,12.5,1.25,g,176065,AL OSRA SUGAR FINE 10/2KG,mapped
