item_code,name,cooking_yield_percent,shrinkage_percent,raw_weight_per_unit,cooked_weight_per_unit
BR000349,KINZA LEMON 30/250ML,60,40,1,0.6
218664,TFGA HAND SOAP LIQ LEMON 4/5LTR,60,40,1,0.6
387037,FAIRY LEMON 12/900ML,60,40,1,0.6
102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,75,25,1,0.75
132925,GARLIC CUPS DISP WATNIA 20/100CT,87,13,1,0.87
147047,TFG NIAZ LEMON DRY 1/1KG,60,40,1,0.6
161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,95,5,1,0.95
273104,A-AFFCO FISH SAUCE 12/700ML,75,25,1,0.75
378292,A-TFG AL KABEER HASHBROWN POTATO 4/2.5KG,83,17,1,0.83
381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,95,5,1,0.95
401030,EASTERN GARLIC POWDER 24/200G,87,13,1,0.87
401444,LIPTON GREEN TEA LEMON 12/50/1.3G,60,40,1,0.6
134212,MUTTON CARCAS AUST U-16 1/1KG,85,15,1,0.85
134213,MUTTON CARCASS UNDER 20 1/1KG,70,30,1,0.85
141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,70,30,1,0.85
MT000237,FROZ BEEF FEET 1/1KG(NATURA FRIG),70,30,1,0.9
132996,AFFCO LUNCHEON CHICKEN MEAT 24/200G,75,25,1,0.95
134696,DOUX CHICKEN FROZEN 10/900G,75,25,1,0.9
179446,TAFGA CHICKEN WINGS 1/5KG,75,25,1,0.9
180259,TFG AMERICANA LOCAL CHICKEN BREAST1/10KG,75,25,1,0.9
182833,A-TAFGA AMERICANA CHICKEN FRANK 24/340G,75,25,1,0.95
189015,TAFGA LOCAL TANMIAH CHICKEN 10/900G,75,25,1,0.9
205101,TANMIAH FRESH CHICKEN 1/900G,75,25,1,0.9
307852,AL KABEER CHICKEN BURGER BIG 8/1200G,75,25,1,0.95
357255,ADDOHA FRESH CHICKEN WHOLE IN BAG 1/900G,75,25,1,0.9
398635,ZAMIL CHICKEN FRANKS 24/340G,75,25,1,0.95
PR000002,CABBAGE (LOCAL),90,10,1,0.9
PR000005,TOMATO (ADY),95,5,1,0.95
PR000009,GREEN PEPPER (LBN),82,18,1,0.95
PR000010,CUCUMBER (ADY),95,5,1,0.9
PR000012,EGGPANT (BIG),100,0,1,0.95
PR000018,GARLIC (CHINA),87,13,1,0.9
PR000019,GINGER (CHINA),85,15,1,0.95
PR000020,DRY ONION (LOCAL),89,11,1,0.9
PR000022,POTATO (LOCAL),83,17,1,0.85
PR000024,YELLOW PUMPKUIN,85,15,1,0.75
PR000026,CARROT (AUSTALIA/CHINA),89,11,1,0.9
PR000030,BITTERGOURD (LOCAL),85,15,1,0.8
PR000031,GREEN BEANS,85,15,1,0.9
PR000032,CAULIFLOWER (LOCAL),85,15,1,0.8
PR000041,PAPPAYA,85,15,1,0.7
PR000045,LETTUCE (LOCAL),74,26,1,0.74
PR000048,OKRA (LOCAL),85,15,1,0.85
PR000049,ONION (WHITE),89,11,1,0.95
PR000062,CORIANDER LEAVES (BDL),100,0,1,0.9
PR000065,GREEN ONION (BDL),89,11,1,0.9
PR000070,APPLE (GREEN),85,15,1,0.8
PR000072,APPLE (GALA) (USA/ITALY),85,15,1,0.8
PR000074,BANANA (ADY),85,15,1,0.9
PR000076,MANGO,85,15,1,0.8
PR000077,PEACHES,85,15,1,0.9
PR000078,KIWI FRUIT,85,15,1,0.9
PR000081,GRAPES BLACK (AFRICAN),85,15,1,0.85
PR000083,RED PLUMS,85,15,1,0.95
PR000084,WATERMELONS,100,0,1,0.5
PR000085,SWEETMELONS,85,15,1,0.5
PR000090,LEMON (AFRICAN/TURKEY),60,40,1,0.6
PR000095,STRAWBERRIES (USA),85,15,1,0.95
PR000097,GUAVA,85,15,1,0.9
PR000105,RED PEPPER,85,15,1,0.95
PR000106,YELLOW PEPPER,85,15,1,0.95
PR000107,GRAPES WHITE (AFRICAN),85,15,1,0.95
PR000113,DRISCOLL'S BLUE BERRY 1/170G,85,15,1,1
PR000114,DRISCOLL'S RAS BERRY 1/170G,85,15,1,1
163290,FISH MILK FISH 500/800 /KG,100,0,1,0.95
275412,TAFGA KFS TALAPIA CLEAN 1/KG,75,25,1,0.95
306998,RUHI FISH 1/2.5KG,75,25,1,0.95
