item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
GROCERY,100749,100749,KIKKOMAN SOY SAUCE LITE 12/10Z,EA,14.5895826086957,100,90,soybeans,,,
GROCERY,102426,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,EA,0.814964692982456,75,165,none,,,
GROCERY,103023,103023,TAFGA LUNA TOMATO PASTE 24/400G,EA,3.79167368421053,100,82,none,,,
GROCERY,110196,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,EA,10.9166660130719,100,90,shellfish,,,
GROCERY,111278,111278,TFG RIYADH/HAIEL WHITE OATS 24/400G,EA,3.48060541310541,240,389,gluten,,,
OPERSUPPLY,115918,115918,A-TFG DAIM/ORINEX CUTRIT WAX PPR 24/75SQFT,EA,5.88334166666667,100,0,none,,,
OPERSUPPLY,116248,116248,TAFGA GULF PLASTIC TRAY #3 20/50CT,PAK,6.48083333333333,100,0,none,,,
OPERSUPPLY,116281,116281,PLASCO ROUND PLATE #22 10/50CT,PAK,8.5,100,0,none,,,
DAIRY,118807,118807,NADA UHT MILK FF 18/200ML,EA,1.25,100,61,milk,,,
OPERSUPPLY,132767,132767,KITCHEN CLOTH TOWEL 1/12CT,EA,1.07382083333333,100,0,none,,,
OPERSUPPLY,132774,132774,MOP HEAD 24Z 1/EA,EA,9.8,100,0,none,,,
OPERSUPPLY,132777,132777,MOP HANDLE (METAL) 1/EA,EA,13.59077,100,0,none,,,
OPERSUPPLY,132779,132779,NIBCO HAND BRUSH (SOFT) 1/EA,EA,4.90053333333333,100,0,none,,,
OPERSUPPLY,132784,132784,HARD BROOM W/STICK(18IN) 1/EA,EA,8.924425,100,0,none,,,
OPERSUPPLY,132785,132785,"HERO BLACK SOFTBROOM W/STK 16"" 1/EA",EA,11.76045,100,0,none,,,
CHEMICAL,132787,132787,(TAFGA) STEEL POLISH 12/400ML,EA,6.00250869565217,100,120,none,,,
OPERSUPPLY,132791,132791,GLOVE DISP 100/100CT,PAK,1.50682313829787,100,0,none,,,
OPERSUPPLY,132795,132795,RUBBER WIPER 45CM 1/EA,EA,9.800075,100,0,none,,,
GROCERY,132822,132822,A-TAFGA SHIFA HONEY 12/500G,EA,19.4945181818182,100,387,none,,,
GROCERY,132827,132827,CAFE EXTRA MILD 12/200G,EA,14.5745154320988,100,120,none,,,
GROCERY,132875,132875,TFGA CUSTARD POWDER 24/450G,EA,7.27550909090909,100,120,none,,,
OPERSUPPLY,132915,132915,TAFGA RUBBER WIPER 75CM 1/EA,EA,16.66,100,0,none,,,
GROCERY,132925,132925,GARLIC CUPS DISP WATNIA 20/100CT,PAK,3.38323529411765,100,0,none,,,
POULTRY,132996,132996,AFFCO LUNCHEON CHICKEN MEAT 24/200G,EA,5.08841257861635,75,165,none,,,
GROCERY,133054,133054,ELKEIF THAI CHILLI WHOLE 1/5KG,KG,25,100,120,none,,,
GROCERY,133106,133106,BASHAYER PAK VERMICELLI 48/150G,EA,0.880131547619048,100,120,none,,,
OPERSUPPLY,133204,133204,TAFGA HYNAP NAPKIN 40/250CT,PAK,3.6246373015873,100,0,none,,,
OPERSUPPLY,133229,133229,AFFCO ROUND TOOTHPICK 12/150'S,EA,0.416695833333333,100,0,none,,,
OPERSUPPLY,133283,133283,TFGA TRASH BAG BLUE 10-GAL(3KG) 17/30CT,PAK,1.38823529411765,100,0,none,,,
OPERSUPPLY,133442,133442,WRAPPED TOOTHPICK 1/1000'S,CS,4.7267,100,0,none,,,
CHEMICAL,133443,133443,(TAFGA) LUX SOAP ASST 72/120G,EA,2.40394423868313,100,120,none,,,
GROCERY,133501,133501,A-GLORIA SAN HOT SAUCE 36/3Z,EA,0.91945807860262,100,90,none,,,
MEAT,134212,134212,MUTTON CARCAS AUST U-16 1/1KG,KG,29.5,70,250,none,,,
