source_sheet,source_row,item_code,ingredient_name,beginning_qty,received_qty,issued_qty,ending_qty,uploaded_quantity,unit,uploaded_unit_cost,amount,item_group,status
Sheet1,9,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,23,0,0,23,23,EA,9.022948,207.5278,BAKERY,converted
Sheet1,10,230797,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,25,0,0,25,25,EA,6.450004,161.2501,BAKERY,converted
Sheet1,11,272674,FONTE BREAD CRUMBS 1/500G,10,0,0,10,10,EA,4.5,45,BAKERY,converted
Sheet1,12,BK000001,SLICED BREAD WHITE,0,48,-48,0,0,PAK,2.7,0,BAKERY,converted
Sheet1,13,BK000002,SLICED BREAD BROWN,0,12,-12,0,0,PAK,3.25,0,BAKERY,converted
Sheet1,14,BK000003,LUSINE BURGER BUN PLAIN,0,0,0,0,0,PAK,0,0,BAKERY,converted
Sheet1,15,BK000004,ARABIC BREAD WHITE,0,85,-85,0,0,PAK,0.95,0,BAKERY,converted
Sheet1,16,BK000005,ARABIC BREAD BROWN,0,285,-285,0,0,PAK,0.95,0,BAKERY,converted
Sheet1,17,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,96,0,0,96,96,EA,0.641667,61.6,BEVERAGES,converted
Sheet1,18,224895,TAFGA NOVA WATER 40/0.33LTR,1600,0,0,1600,1600,EA,0.403018,644.8283,BEVERAGES,converted
Sheet1,19,345557,BERAIN MINERAL WATER 2/12LTR,36,0,-2,34,34,EA,5,170,BEVERAGES,converted
Sheet1,20,379401,TFG AL RABIE APPLE JUCIE 8/1LTR,10,0,-1,9,9,EA,4.365,39.285,BEVERAGES,converted
Sheet1,21,379403,TFG AL RABIE FRT C/TAIL JUCIE 8/1LTR,7,0,-1,6,6,EA,5.87535,35.2521,BEVERAGES,converted
Sheet1,22,379404,TFG AL RABIE MANGO JUCIE 8/1LTR,23,0,-1,22,22,EA,5.867927,129.0944,BEVERAGES,converted
Sheet1,23,379405,TFG AL RABIE ORANGE JUCIE 8/1LTR,11,0,-1,10,10,EA,4.6075,46.075,BEVERAGES,converted
Sheet1,24,BR000097,BERAIN WATER BOTTLE 40/330ML,8120,0,-2000,6120,6120,EA,0.225,1377.0001,BEVERAGES,converted
Sheet1,25,BR000106,COCA COLA CAN 30/250ML,262,0,-22,240,240,EA,1.446333,347.12,BEVERAGES,converted
Sheet1,26,BR000107,COCA COLA LT CAN 30/250ML,180,0,0,180,180,EA,1.446333,260.34,BEVERAGES,converted
Sheet1,27,BR000109,SPRITE CAN 30/250ML,600,0,-3,597,597,EA,1.446333,863.461,BEVERAGES,converted
Sheet1,28,BR000280,NESTLE WATER 42/330ML,0,0,0,0,0,EA,0,-2.1428,BEVERAGES,converted
Sheet1,29,BR000346,KINZA CITRUS 30/250ML,300,0,0,300,300,EA,1.043333,313,BEVERAGES,converted
Sheet1,30,BR000347,KINZA ORANGE 30/250ML,120,0,0,120,120,EA,1.043333,125.2,BEVERAGES,converted
Sheet1,31,BR000349,KINZA LEMON 30/250ML,120,0,0,120,120,EA,1.043333,125.2,BEVERAGES,converted
Sheet1,32,BR000351,KINZA COLA 30/250ML,600,0,0,600,600,EA,1.043333,626,BEVERAGES,converted
Sheet1,33,132787,(TAFGA) STEEL POLISH 12/400ML,23,0,0,23,23,EA,6.002509,138.0577,CHEMICAL,converted
Sheet1,34,133443,(TAFGA) LUX SOAP ASST 72/120G,486,0,0,486,486,EA,2.403944,1168.3169,CHEMICAL,converted
Sheet1,35,140165,ROZZET HAND LIQUID SOAP PINK 4/5LTR,0,0,0,0,0,EA,0,-7.3686,CHEMICAL,converted
Sheet1,36,165437,CLOROX BLEA 6/1GALLON,144,0,-1,143,143,EA,16.357474,2339.1188,CHEMICAL,converted
Sheet1,37,169246,DIXIE GLASS CLEANER 12/600ML,35,0,0,35,35,EA,2.913946,101.9881,CHEMICAL,converted
Sheet1,38,189387,COTTAGE ROSE AIR FRESHNER 12/300ML,24,0,0,24,24,EA,3.601208,86.429,CHEMICAL,converted
Sheet1,39,200361,(TAFGA) DOVE CREAM SOAP PINK 72/135G,384,0,0,384,384,EA,4.157622,1596.527,CHEMICAL,converted
Sheet1,40,218664,TFGA HAND SOAP LIQ LEMON 4/5LTR,58,0,0,58,58,EA,18.746022,1087.2693,CHEMICAL,converted
Sheet1,41,254320,TAFGA ARIEL DETERGENTS HS MB 4/3KG,50,0,0,50,50,EA,24.952102,1247.6051,CHEMICAL,converted
Sheet1,42,267425,TAFGA PIF PAF INSECT KILLER 12/300ML,12,0,0,12,12,EA,5.675633,68.1076,CHEMICAL,converted
Sheet1,43,270297,TAFGA FLASH PLUS BOWL CLEANER 12/1000ML,133,0,0,133,133,EA,3.166662,421.1661,CHEMICAL,converted
