item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
BAKERY,182376,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,EA,9.022948,100,120,none,0.34019428,kg,item_name_package
BAKERY,230797,230797,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,EA,6.450004,100,120,none,0.4,kg,item_name_package
BAKERY,272674,272674,FONTE BREAD CRUMBS 1/500G,EA,4.5,100,364,wheat,0.5,kg,item_name_package
BAKERY,BK000001,BK000001,SLICED BREAD WHITE,PAK,2.7,100,250,none,,,
BAKERY,BK000002,BK000002,SLICED BREAD BROWN,PAK,3.25,100,250,none,,,
BAKERY,BK000003,BK000003,LUSINE BURGER BUN PLAIN,PAK,0,100,250,none,,,
BAKERY,BK000004,BK000004,ARABIC BREAD WHITE,PAK,0.95,100,250,none,,,
BAKERY,BK000005,BK000005,ARABIC BREAD BROWN,PAK,0.95,100,250,none,,,
BEVERAGES,224894,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,EA,0.641667,100,120,none,0.55,l,item_name_package
BEVERAGES,224895,224895,TAFGA NOVA WATER 40/0.33LTR,EA,0.403018,100,120,none,0.33,l,item_name_package
BEVERAGES,345557,345557,BERAIN MINERAL WATER 2/12LTR,EA,5,100,120,none,12,l,item_name_package
BEVERAGES,379401,379401,TFG AL RABIE APPLE JUCIE 8/1LTR,EA,4.365,100,120,none,1,l,item_name_package
BEVERAGES,379403,379403,TFG AL RABIE FRT C/TAIL JUCIE 8/1LTR,EA,5.87535,100,120,none,1,l,item_name_package
BEVERAGES,379404,379404,TFG AL RABIE MANGO JUCIE 8/1LTR,EA,5.867927,100,120,none,1,l,item_name_package
BEVERAGES,379405,379405,TFG AL RABIE ORANGE JUCIE 8/1LTR,EA,4.6075,100,120,none,1,l,item_name_package
BEVERAGES,BR000097,BR000097,BERAIN WATER BOTTLE 40/330ML,EA,0.225,100,120,none,0.33,l,item_name_package
BEVERAGES,BR000106,BR000106,COCA COLA CAN 30/250ML,EA,1.446333,100,120,none,0.25,l,item_name_package
BEVERAGES,BR000107,BR000107,COCA COLA LT CAN 30/250ML,EA,1.446333,100,120,none,0.25,l,item_name_package
BEVERAGES,BR000109,BR000109,SPRITE CAN 30/250ML,EA,1.446333,100,120,none,0.25,l,item_name_package
BEVERAGES,BR000280,BR000280,NESTLE WATER 42/330ML,EA,0,100,0,none,0.33,l,item_name_package
BEVERAGES,BR000346,BR000346,KINZA CITRUS 30/250ML,EA,1.043333,100,120,none,0.25,l,item_name_package
BEVERAGES,BR000347,BR000347,KINZA ORANGE 30/250ML,EA,1.043333,100,120,none,0.25,l,item_name_package
BEVERAGES,BR000349,BR000349,KINZA LEMON 30/250ML,EA,1.043333,100,120,none,0.25,l,item_name_package
BEVERAGES,BR000351,BR000351,KINZA COLA 30/250ML,EA,1.043333,100,120,none,0.25,l,item_name_package
CHEMICAL,132787,132787,(TAFGA) STEEL POLISH 12/400ML,EA,6.002509,100,120,none,0.4,l,item_name_package
CHEMICAL,133443,133443,(TAFGA) LUX SOAP ASST 72/120G,EA,2.403944,100,120,none,0.12,kg,item_name_package
CHEMICAL,140165,140165,ROZZET HAND LIQUID SOAP PINK 4/5LTR,EA,0,100,,none,5,l,item_name_package
CHEMICAL,165437,165437,CLOROX BLEA 6/1GALLON,EA,16.357474,100,120,none,,,
CHEMICAL,169246,169246,DIXIE GLASS CLEANER 12/600ML,EA,2.913946,100,120,none,0.6,l,item_name_package
CHEMICAL,189387,189387,COTTAGE ROSE AIR FRESHNER 12/300ML,EA,3.601208,100,120,none,0.3,l,item_name_package
CHEMICAL,200361,200361,(TAFGA) DOVE CREAM SOAP PINK 72/135G,EA,4.157622,100,120,milk,0.135,kg,item_name_package
