source_sheet,source_row,item_code,ingredient_name,quantity,unit,unit_cost,amount,status
Sheet1,2,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,23,EA,9.022948,207.5278,converted
Sheet1,3,230797,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,25,EA,6.450004,161.2501,converted
Sheet1,4,272674,FONTE BREAD CRUMBS 1/500G,10,EA,4.5,45,converted
Sheet1,5,BK000001,SLICED BREAD WHITE,48,PAK,2.7,129.6,converted
Sheet1,6,BK000002,SLICED BREAD BROWN,12,PAK,3.25,39,converted
Sheet1,7,BK000003,LUSINE BURGER BUN PLAIN,0,PAK,0,0,converted
Sheet1,8,BK000004,ARABIC BREAD WHITE,85,PAK,0.95,80.75,converted
Sheet1,9,BK000005,ARABIC BREAD BROWN,285,PAK,0.95,270.75,converted
Sheet1,10,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,96,EA,0.641667,61.6,converted
Sheet1,11,224895,TAFGA NOVA WATER 40/0.33LTR,1600,EA,0.403018,644.8283,converted
Sheet1,12,345557,BERAIN MINERAL WATER 2/12LTR,36,EA,5,180,converted
Sheet1,13,379401,TFG AL RABIE APPLE JUCIE 8/1LTR,10,EA,4.365,43.65,converted
Sheet1,14,379403,TFG AL RABIE FRT C/TAIL JUCIE 8/1LTR,7,EA,5.875343,41.1274,converted
Sheet1,15,379404,TFG AL RABIE MANGO JUCIE 8/1LTR,23,EA,5.867926,134.9623,converted
Sheet1,16,379405,TFG AL RABIE ORANGE JUCIE 8/1LTR,11,EA,4.6075,50.6825,converted
Sheet1,17,BR000097,BERAIN WATER BOTTLE 40/330ML,8120,EA,0.225,1827.0001,converted
Sheet1,18,BR000106,COCA COLA CAN 30/250ML,262,EA,1.446333,378.9393,converted
Sheet1,19,BR000107,COCA COLA LT CAN 30/250ML,180,EA,1.446333,260.34,converted
Sheet1,20,BR000109,SPRITE CAN 30/250ML,600,EA,1.446333,867.8,converted
Sheet1,21,BR000280,NESTLE WATER 42/330ML,0,EA,0,-2.1428,converted
Sheet1,22,BR000346,KINZA CITRUS 30/250ML,300,EA,1.043333,313,converted
Sheet1,23,BR000347,KINZA ORANGE 30/250ML,120,EA,1.043333,125.2,converted
Sheet1,24,BR000349,KINZA LEMON 30/250ML,120,EA,1.043333,125.2,converted
