item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens
BAKERY,BK000001,BK000001,SLICED BREAD WHITE,PAK,2.7,100,,none
BAKERY,BK000002,BK000002,SLICED BREAD BROWN,PAK,3.25,100,,none
GROCERY,100782,100782,TAFGA MAKATI SOY SAUCE 12/750ML,EA,8.225,100,,none
OPERSUPPLY,395608,395608,A-TAFGA LOGO SHOPPING BAG BIODEGRADEABLE MED 1/20KG,KG,6.8,100,,none
OPERSUPPLY,OP003035,OP003035,PLASTIC CONTENER WHITE 250 1/1000CT,EA,0.118,100,,none
PRODUCE,PR000048,PR000048,OKRA (LOCAL),KG,8,100,,none
PRODUCE,PR000061,PR000061,SPINACH (BDL),BDL,1.5,100,,none
PRODUCE,PR000077,PR000077,PEACHES,KG,10,100,,none
PRODUCE,PR000078,PR000078,KIWI FRUIT,KG,12,100,,none
PRODUCE,PR000084,PR000084,WATERMELONS,KG,2.5,100,,none
PRODUCE,PR000093,PR000093,MANDRINE MOROCCO,KG,7,100,,none
PRODUCE,PR000097,PR000097,GUAVA,KG,8,100,,none
SEAFOOD,306998,306998,RUHI FISH 1/2.5KG,KG,15,100,,none
