site,warehouse,item_code,ingredient_name,quantity,unit,unit_cost,reorder_level,status,item_group,amount
KBR,KBR-384,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,23,EA,9.022948,0,in_stock,BAKERY,207.5278
KBR,KBR-384,230797,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,25,EA,6.450004,0,in_stock,BAKERY,161.2501
KBR,KBR-384,272674,FONTE BREAD CRUMBS 1/500G,10,EA,4.5,0,in_stock,BAKERY,45
KBR,KBR-384,BK000001,SLICED BREAD WHITE,36,PAK,2.7,0,in_stock,BAKERY,97.2
KBR,KBR-384,BK000002,SLICED BREAD BROWN,12,PAK,3.25,0,in_stock,BAKERY,39
KBR,KBR-384,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,96,EA,0.641667,0,in_stock,BEVERAGES,61.6
KBR,KBR-384,224895,TAFGA NOVA WATER 40/0.33LTR,1680,EA,0.403018,0,in_stock,BEVERAGES,677.0697
KBR,KBR-384,345557,BERAIN MINERAL WATER 2/12LTR,38,EA,5,0,in_stock,BEVERAGES,190
KBR,KBR-384,379401,TFG AL RABIE APPLE JUCIE 8/1LTR,11,EA,4.365,0,in_stock,BEVERAGES,48.015
KBR,KBR-384,379403,TFG AL RABIE FRT C/TAIL JUCIE 8/1LTR,8,EA,5.875338,0,in_stock,BEVERAGES,47.0027
KBR,KBR-384,379404,TFG AL RABIE MANGO JUCIE 8/1LTR,24,EA,5.867925,0,in_stock,BEVERAGES,140.8302
KBR,KBR-384,379405,TFG AL RABIE ORANGE JUCIE 8/1LTR,12,EA,4.6075,0,in_stock,BEVERAGES,55.29
KBR,KBR-384,BR000097,BERAIN WATER BOTTLE 40/330ML,9160,EA,0.225,0,in_stock,BEVERAGES,2061.0001
KBR,KBR-384,BR000106,COCA COLA CAN 30/250ML,300,EA,1.446333,0,in_stock,BEVERAGES,433.9
KBR,KBR-384,BR000107,COCA COLA LT CAN 30/250ML,180,EA,1.446333,0,in_stock,BEVERAGES,260.34
KBR,KBR-384,BR000109,SPRITE CAN 30/250ML,600,EA,1.446333,0,in_stock,BEVERAGES,867.8
KBR,KBR-384,BR000346,KINZA CITRUS 30/250ML,300,EA,1.043333,0,in_stock,BEVERAGES,313
KBR,KBR-384,BR000347,KINZA ORANGE 30/250ML,120,EA,1.043333,0,in_stock,BEVERAGES,125.2
