item_code,name,ingredient_code,sku,alias,supplier_item_name,unit,category,cuisine_type,cost_per_unit,package_base_quantity,package_base_unit,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,sodium_per_100g,sugar_per_100g,cooking_yield_percent,shrinkage_percent,raw_weight_per_unit,cooked_weight_per_unit,allergens,is_active
182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,182376,182376,,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,EA,BAKERY,,9.022948,0.34019428,kg,0,0,0,0,27360,0,100,0,1,1,[],TRUE
230797,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,230797,230797,,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,EA,BAKERY,,6.450004,0.4,kg,558,7,45,38,253,1,100,0,1,1,"[""wheat"", ""gluten"", ""milk""]",TRUE
272674,FONTE BREAD CRUMBS 1/500G,272674,272674,,FONTE BREAD CRUMBS 1/500G,EA,BAKERY,,4.5,0.5,kg,395,13,72,5,732,6,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
BK000001,SLICED BREAD WHITE,BK000001,BK000001,,SLICED BREAD WHITE,PAK,BAKERY,,2.7,,,265,9,49,3.2,491,5,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
BK000002,SLICED BREAD BROWN,BK000002,BK000002,,SLICED BREAD BROWN,PAK,BAKERY,,3.25,,,265,9,49,3.2,491,5,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
BK000003,LUSINE BURGER BUN PLAIN,BK000003,BK000003,,LUSINE BURGER BUN PLAIN,PAK,BAKERY,,0,,,250,14,5,19,850,1,100,0,1,1,"[""wheat"", ""soy""]",TRUE
BK000004,ARABIC BREAD WHITE,BK000004,BK000004,,ARABIC BREAD WHITE,PAK,BAKERY,,0.95,,,265,9,49,3.2,491,5,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
BK000005,ARABIC BREAD BROWN,BK000005,BK000005,,ARABIC BREAD BROWN,PAK,BAKERY,,0.95,,,265,9,49,3.2,491,5,100,0,1,1,"[""wheat"", ""gluten""]",TRUE
224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,224894,,(TAFGA) NOVA WATER 24/0.55-0.6LTR,EA,BEVERAGES,,0.641667,0.55,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
224895,TAFGA NOVA WATER 40/0.33LTR,224895,224895,,TAFGA NOVA WATER 40/0.33LTR,EA,BEVERAGES,,0.403018,0.33,l,0,0,0,0,0,0,100,0,1,1,[],TRUE
