status,sheet,cuisine_type,menu_category,source_menu_category,row,day,plan_date,meal_type,menu_item,mapped_recipe_code,mapped_recipe_name,reason
mapped,SENIOR MESS NEW-2026,general,senior,senior,6,SATURDAY,2026-09-05,breakfast,CHANA MASSALA,RCP-006-CHANAMASAL-KBR384ONEGOV3,Chana Masala KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,6,SATURDAY,2026-09-05,breakfast,CHANA MASSALA,RCP-006-CHANAMASAL-KBR384ONEGOV3,Chana Masala KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,6,SATURDAY,2026-09-05,breakfast,CHANA MASSALA,RCP-006-CHANAMASAL-KBR384ONEGOV3,Chana Masala KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,6,TUESDAY,2026-09-01,breakfast,CHANA DHAL,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,6,TUESDAY,2026-09-01,breakfast,CHANA DHAL,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,6,TUESDAY,2026-09-01,breakfast,CHANA DHAL,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,6,WEDNESDAY,2026-09-02,breakfast,DALL MASOOR,RCP-008-DALMASOOR-KBR384ONEGOV3,Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,6,WEDNESDAY,2026-09-02,breakfast,DALL MASOOR,RCP-008-DALMASOOR-KBR384ONEGOV3,Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,6,WEDNESDAY,2026-09-02,breakfast,DALL MASOOR,RCP-008-DALMASOOR-KBR384ONEGOV3,Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,6,THURSDAY,2026-09-03,breakfast,CHANA DALL,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,6,THURSDAY,2026-09-03,breakfast,CHANA DALL,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,6,THURSDAY,2026-09-03,breakfast,CHANA DALL,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,6,FRIDAY,2026-09-04,breakfast,CHANA MONGO,RCP-009-DALLMONG-KBR384ONEGOV3,Dall Mong KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,6,FRIDAY,2026-09-04,breakfast,CHANA MONGO,RCP-009-DALLMONG-KBR384ONEGOV3,Dall Mong KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,6,FRIDAY,2026-09-04,breakfast,CHANA MONGO,RCP-009-DALLMONG-KBR384ONEGOV3,Dall Mong KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,7,SATURDAY,2026-09-05,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,7,SATURDAY,2026-09-05,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,7,SATURDAY,2026-09-05,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,7,TUESDAY,2026-09-01,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,7,TUESDAY,2026-09-01,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,7,TUESDAY,2026-09-01,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,7,WEDNESDAY,2026-09-02,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,7,WEDNESDAY,2026-09-02,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,7,WEDNESDAY,2026-09-02,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,7,THURSDAY,2026-09-03,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,7,THURSDAY,2026-09-03,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,7,THURSDAY,2026-09-03,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,7,THURSDAY,2026-09-03,breakfast,HALWA,RCP-090-STANDARDCA-KBR384ONEGOV3,Standard Catering Sweet KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,7,THURSDAY,2026-09-03,breakfast,HALWA,RCP-090-STANDARDCA-KBR384ONEGOV3,Standard Catering Sweet KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,7,THURSDAY,2026-09-03,breakfast,HALWA,RCP-090-STANDARDCA-KBR384ONEGOV3,Standard Catering Sweet KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,7,FRIDAY,2026-09-04,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,7,FRIDAY,2026-09-04,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,7,FRIDAY,2026-09-04,breakfast,OATS,RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,Matched to recipe upload catalog
skipped,SENIOR MESS NEW-2026,general,senior,senior,8,SATURDAY,2026-09-05,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,8,SATURDAY,2026-09-05,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,8,SATURDAY,2026-09-05,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,8,TUESDAY,2026-09-01,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,8,TUESDAY,2026-09-01,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,8,TUESDAY,2026-09-01,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,8,WEDNESDAY,2026-09-02,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,8,WEDNESDAY,2026-09-02,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,8,WEDNESDAY,2026-09-02,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,8,THURSDAY,2026-09-03,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,8,THURSDAY,2026-09-03,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,8,THURSDAY,2026-09-03,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,8,FRIDAY,2026-09-04,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,8,FRIDAY,2026-09-04,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,8,FRIDAY,2026-09-04,breakfast,CORN FLAKES,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,9,SATURDAY,2026-09-05,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,9,SATURDAY,2026-09-05,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,9,SATURDAY,2026-09-05,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,9,TUESDAY,2026-09-01,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,9,TUESDAY,2026-09-01,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,9,TUESDAY,2026-09-01,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,9,WEDNESDAY,2026-09-02,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,9,WEDNESDAY,2026-09-02,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,9,WEDNESDAY,2026-09-02,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,9,THURSDAY,2026-09-03,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,9,THURSDAY,2026-09-03,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,9,THURSDAY,2026-09-03,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,9,FRIDAY,2026-09-04,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,9,FRIDAY,2026-09-04,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,9,FRIDAY,2026-09-04,breakfast,JAM,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,10,SATURDAY,2026-09-05,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,10,SATURDAY,2026-09-05,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,10,SATURDAY,2026-09-05,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,10,TUESDAY,2026-09-01,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,10,TUESDAY,2026-09-01,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,10,TUESDAY,2026-09-01,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,10,WEDNESDAY,2026-09-02,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,10,WEDNESDAY,2026-09-02,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,10,WEDNESDAY,2026-09-02,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,10,THURSDAY,2026-09-03,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,10,THURSDAY,2026-09-03,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,10,THURSDAY,2026-09-03,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,senior,senior,10,FRIDAY,2026-09-04,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,labor,senior,10,FRIDAY,2026-09-04,breakfast,PEANUT BUTTER,,,Support/non-recipe item
skipped,SENIOR MESS NEW-2026,general,management_menu,senior,10,FRIDAY,2026-09-04,breakfast,PEANUT BUTTER,,,Support/non-recipe item
mapped,SENIOR MESS NEW-2026,general,senior,senior,11,SATURDAY,2026-09-05,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,11,SATURDAY,2026-09-05,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,11,SATURDAY,2026-09-05,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,11,TUESDAY,2026-09-01,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,11,TUESDAY,2026-09-01,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,11,TUESDAY,2026-09-01,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,11,WEDNESDAY,2026-09-02,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,11,WEDNESDAY,2026-09-02,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,11,WEDNESDAY,2026-09-02,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,11,THURSDAY,2026-09-03,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,11,THURSDAY,2026-09-03,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,11,THURSDAY,2026-09-03,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,11,FRIDAY,2026-09-04,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,labor,senior,11,FRIDAY,2026-09-04,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,management_menu,senior,11,FRIDAY,2026-09-04,breakfast,JUICE,RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,Matched to recipe upload catalog
mapped,SENIOR MESS NEW-2026,general,senior,senior,12,SATURDAY,2026-09-05,breakfast,EGG OMLET,RCP-016-OMLETTEWIT-KBR384ONEGOV3,Omlette with onion and tomato KBR-384 ONEGO V3,Matched to recipe upload catalog
