recipe_name,source_file,source_ingredient,quantity,unit,match_status,matched_ingredient,action_required
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Instant Coffee Powder,200.0,g,item_code,TAFGA NESCAFE CLASIC COFFEE 12/200G,Review fuzzy name match
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Coffee Mate Powder,400.0,g,item_code,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,Review fuzzy name match
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,White Sugar,400.0,g,item_code,AL OSRA SUGAR FINE 10/2KG,Review fuzzy name match
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Hot Water,14.2,l,item_code,(TAFGA) NOVA WATER 24/0.55-0.6LTR,Review fuzzy name match
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Tang Powder,2.5,kg,item_code,TAFGA TANG ORANGE 6/2 KG,Review fuzzy name match
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Cold Water,18.5,l,item_code,(TAFGA) NOVA WATER 24/0.55-0.6LTR,Review fuzzy name match
Classic Russian Olivier Salad KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,Waxy Potatoes,6.5,kg,item_code,POTATO (LOCAL),Review fuzzy name match
Classic Russian Olivier Salad KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,Carrots,1.8,kg,item_code,CARROT (AUSTALIA/CHINA),Review fuzzy name match
Classic Russian Olivier Salad KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,Eggs,40.0,pieces,item_code,SAEDCO FRESH EGGS MEDIUM 12/30 CT,Review fuzzy name match
Classic Russian Olivier Salad KBR-384 ONEGO V3,artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,Cooked Ham or Chicken,1.2,kg,item_code,TANMIAH FRESH CHICKEN 1/900G,Review fuzzy name match
