recipe_name,recipe_code,source_file,removed_ingredient_name,removed_item_code,removed_quantity,removed_unit,reason
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,TAFGA CH/GARDEN MIXED PICKLE 12/1KG,267491,1.8,kg,Replaced by source ingredient: Dill Pickles
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,5.5,kg,Replaced by source ingredient: WATERMELONS
MIX MELON PORTION KBR-384 ONEGO V3,RCP-004-MIXMELONPO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\MIX MELON PORTION .docx,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,8.5,kg,Replaced by source ingredient: WATERMELONS
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,APPLE (GALA) (USA/ITALY),PR000072,4.0,pieces,Replaced by source ingredient: whole Pineapples
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,A-TOMEX GREEN PEAS 4/2.5KG,404330,7.0,kg,Replaced by source ingredient: AMAL CHICK PEAS # 07 1/15KG
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,6.0,kg,Replaced by source ingredient: TOMATO (ADY)
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,350.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,2.5,kg,Replaced by source ingredient: TOMATO (ADY)
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,ALMARAI BUTTER GHEE 6/1600G,242795,1.5,l,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,250.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,4.0,kg,Replaced by source ingredient: TOMATO (ADY)
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,400.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Dall Mong KBR-384 ONEGO V3,RCP-009-DALLMONG-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dall Mong Recipe. 100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,5.0,kg,Replaced by source ingredient: TOMATO (ADY)
