name,recipe_code,description,cuisine_type,category,servings,ingredients,sub_recipes,instructions,prep_time_minutes,cook_time_minutes,allergens,site_scope,site_ids,site_names,image_url,is_active
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,☕ CLASSIC COFFEE + COFFEE MATE (100 SERVINGS),,FW,1,"[{""ingredient_name"": ""TAFGA NESCAFE CLASIC COFFEE 12/200G"", ""quantity"": 2, ""unit"": ""g"", ""item_code"": ""262233"", ""ingredient_id"": """"}, {""ingredient_name"": ""A-TAFGA NESTLE COFFEEMATE COFE 15/400G"", ""quantity"": 4, ""unit"": ""g"", ""item_code"": ""262241"", ""ingredient_id"": """"}, {""ingredient_name"": ""AL OSRA SUGAR FINE 10/2KG"", ""quantity"": 4, ""unit"": ""g"", ""item_code"": ""176065"", ""ingredient_id"": """"}, {""ingredient_name"": ""(TAFGA) NOVA WATER 24/0.55-0.6LTR"", ""quantity"": 0.142, ""unit"": ""l"", ""item_code"": ""224894"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA TANG ORANGE 6/2 KG"", ""quantity"": 25, ""unit"": ""g"", ""item_code"": ""369549"", ""ingredient_id"": """"}, {""ingredient_name"": ""(TAFGA) NOVA WATER 24/0.55-0.6LTR"", ""quantity"": 0.185, ""unit"": ""l"", ""item_code"": ""224894"", ""ingredient_id"": """"}]",[],,,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,Classic Russian Olivier Salad scaled for 100 servings.,,FW,1,"[{""ingredient_name"": ""POTATO (LOCAL)"", ""quantity"": 65, ""unit"": ""g"", ""item_code"": ""PR000022"", ""ingredient_id"": """"}, {""ingredient_name"": ""CARROT (AUSTALIA/CHINA)"", ""quantity"": 18, ""unit"": ""g"", ""item_code"": ""PR000026"", ""ingredient_id"": """"}, {""ingredient_name"": ""SAEDCO FRESH EGGS MEDIUM 12/30 CT"", ""quantity"": 0.4, ""unit"": ""pieces"", ""item_code"": ""142110"", ""ingredient_id"": """"}, {""ingredient_name"": ""TANMIAH FRESH CHICKEN 1/900G"", ""quantity"": 12, ""unit"": ""g"", ""item_code"": ""205101"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA CH/GARDEN MIXED PICKLE 12/1KG"", ""quantity"": 18, ""unit"": ""g"", ""item_code"": ""267491"", ""ingredient_id"": """"}, {""ingredient_name"": ""A-TOMEX GREEN PEAS 4/2.5KG"", ""quantity"": 0.1, ""unit"": ""pieces"", ""item_code"": ""404330"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA GOODY MAYONNAISE 12/32Z"", ""quantity"": 0.013, ""unit"": ""l"", ""item_code"": ""275962"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA REHAN SALT IODIZED 24/700G"", ""quantity"": 0.525, ""unit"": ""g"", ""item_code"": ""166780"", ""ingredient_id"": """"}, {""ingredient_name"": ""A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z"", ""quantity"": 0.3, ""unit"": ""ml"", ""item_code"": ""185836"", ""ingredient_id"": """"}, {""ingredient_name"": ""Fresh Dill"", ""quantity"": 1.5, ""unit"": ""ml"", ""item_code"": ""RCPMIS-V5-001-FRESHDIL"", ""ingredient_id"": """"}]",[],"1. Boil and Chill (Best done the day before) | Vegetables: Place unpeeled potatoes and carrots in large stockpots. Cover with salted water. Boil until fork-tender but firm (approx. 20–25 mins). Do not overcook. Drain and cool completely. | Eggs: Hard-boil the eggs for 10–12 minutes. Plunge immediately into ice water, peel, and set aside. | Chef's Note: Refrigerating the cooked vegetables and eggs overnight makes dicing significantly cleaner and prevents mushiness. | 2. The Uniform Dice | Peel the cooled potatoes and carrots. | Dice potatoes, carrots, hard-boiled eggs, ham, and pickles into uniform 1/4-inch to 1/2-inch cubes. Consistent sizing is essential for the perfect texture. | 3. Large-Scale Mixing | In a large food-safe catering bin, combine the diced carrots, eggs, ham, pickles, and drained green peas. | Add the mayonnaise, salt, black pepper, and fresh dill. Mix thoroughly until the dressing is evenly distributed. | Fold the potatoes in last: Add the diced potatoes and use a large paddle or gloved hands to gently fold them into the mixture. Mixing potatoes too roughly will release starches and make the dressing sticky. | 4. Chill & Serve | Cover tightly and refrigerate for at least 3 to 4 hours before service to allow the flavors to blend. | Final Check: Taste right before service. If the potatoes absorbed too much dressing, gently fold in an extra cup of mayonnaise to restore the creamy texture.",2,30,"[""egg"", ""milk""]",specific,"[""KBR-384""]","[""KBR""]",,true
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,📋 FRUIT SALAD,,FW,1,"[{""ingredient_name"": ""WATERMELONS"", ""quantity"": 55, ""unit"": ""g"", ""item_code"": ""PR000084"", ""ingredient_id"": """"}, {""ingredient_name"": ""WATERMELONS"", ""quantity"": 40, ""unit"": ""g"", ""item_code"": ""PR000084"", ""ingredient_id"": """"}, {""ingredient_name"": ""A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG"", ""quantity"": 35, ""unit"": ""g"", ""item_code"": ""139845"", ""ingredient_id"": """"}, {""ingredient_name"": ""APPLE (GALA) (USA/ITALY)"", ""quantity"": 22.5, ""unit"": ""g"", ""item_code"": ""PR000072"", ""ingredient_id"": """"}, {""ingredient_name"": ""ORANGE (AFRICAN/EGYPT) NAVEL (CLASS A)"", ""quantity"": 22.5, ""unit"": ""g"", ""item_code"": ""PR000092"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG AL RABIE ORANGE JUCIE 8/1LTR"", ""quantity"": 7.2, ""unit"": ""ml"", ""item_code"": ""379405"", ""ingredient_id"": """"}, {""ingredient_name"": ""LEMON (AFRICAN/TURKEY)"", ""quantity"": 3.6, ""unit"": ""g"", ""item_code"": ""PR000090"", ""ingredient_id"": """"}, {""ingredient_name"": ""AL OSRA SUGAR FINE 10/2KG"", ""quantity"": 3.6, ""unit"": ""g"", ""item_code"": ""176065"", ""ingredient_id"": """"}]",[],"1. Wash & Drain | Wash all fresh apples, grapes, and whole melons thoroughly under cold running water. | Ensure the melons are fully drained after dicing so excess water doesn't dilute the dressing. | 2. The Chop | Melons: Core and slice the watermelon and cantaloupe into uniform 1-inch chunks. | Apples & Oranges: Dice the apples (leave skins on for color). Peel the oranges, pull apart into segments, and chop them into halves. | Assembly: Combine all chopped melons, grapes, apples, and oranges into large, clean catering bins. | 3. Mix & Toss | In a clean pitcher, whisk the orange juice, lemon/lime juice, and sugar together until the sugar completely dissolves. | Pour the glaze evenly over the fruit mixture. | Toss: Use a large plastic paddle or gloved hands to mix gently from the bottom up, ensuring the citrus juice thoroughly coats the diced apples to stop them from browning. | 4. Chill & Serve | Cover the catering bins securely and keep refrigerated for at least 30 minutes before serving. | Serving: Serve with a slotted spoon to leave excess pooled juices at the bottom of the bin.",1,,[],specific,"[""KBR-384""]","[""KBR""]",,true
MIX MELON PORTION KBR-384 ONEGO V3,RCP-004-MIXMELONPO-KBR384ONEGOV3,📊 TOTAL PORTION WEIGHTS FOR 100 PERSONS (MELONS ONLY),,FW,1,"[{""ingredient_name"": ""WATERMELONS"", ""quantity"": 85, ""unit"": ""g"", ""item_code"": ""PR000084"", ""ingredient_id"": """"}, {""ingredient_name"": ""WATERMELONS"", ""quantity"": 65, ""unit"": ""g"", ""item_code"": ""PR000084"", ""ingredient_id"": """"}]",[],"Watermelon (Cubed yield): 8.5 kg (18.7 lbs) | Sweet Melon / Cantaloupe (Cubed yield): 6.5 kg (14.3 lbs) | Total Edible Weight on the Line: 15.0 kg (33.0 lbs) | Serving Size: 150 grams (Approx. 3/4 to 1 cup) of solid melon pieces per person. [1] | These values represent the complete nutritional breakdown for the final 15 kg of combined edible melon chunks. | Nutrient | Total Amount (100 Servings) | Calories | 4,760 kcal | Total Carbohydrates | 1,155 g | ◽ Dietary Fiber | 73 g | ◽ Total Sugars | 1,043 g | Protein | 101 g | Total Fat | 12 g | ◽ Saturated Fat | 0 g | Cholesterol | 0 mg | Sodium | 3,900 mg | Vitamin C | 4,690 mg | Vitamin A | 39,650 mcg | Potassium | 35,050 mg",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,📋 RECIPE CARD: RAINBOW MIXED FRUIT SALAD,,FW,1,"[{""ingredient_name"": ""Strawberries"", ""quantity"": 45, ""unit"": ""g"", ""item_code"": ""RCPMIS-V5-002-STRAWBER"", ""ingredient_id"": """"}, {""ingredient_name"": ""whole Pineapples"", ""quantity"": 0.04, ""unit"": ""pieces"", ""item_code"": ""RCPMIS-V5-003-WHOLEPIN"", ""ingredient_id"": """"}, {""ingredient_name"": ""A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG"", ""quantity"": 27, ""unit"": ""g"", ""item_code"": ""139845"", ""ingredient_id"": """"}, {""ingredient_name"": ""KIWI FRUIT"", ""quantity"": 15, ""unit"": ""g"", ""item_code"": ""PR000078"", ""ingredient_id"": """"}, {""ingredient_name"": ""Fresh Blueberries"", ""quantity"": 15, ""unit"": ""g"", ""item_code"": ""RCPMIS-V5-004-FRESHBLU"", ""ingredient_id"": """"}, {""ingredient_name"": ""ORANGE (AFRICAN/EGYPT) NAVEL (CLASS A)"", ""quantity"": 36, ""unit"": ""g"", ""item_code"": ""PR000092"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG AL RABIE ORANGE JUCIE 8/1LTR"", ""quantity"": 7.2, ""unit"": ""ml"", ""item_code"": ""379405"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG MOONATY LEMON JUICE 12/1LTR"", ""quantity"": 3.6, ""unit"": ""ml"", ""item_code"": ""429366"", ""ingredient_id"": """"}, {""ingredient_name"": ""A-TAFGA SHIFA HONEY 12/500G"", ""quantity"": 4.8, ""unit"": ""g"", ""item_code"": ""132822"", ""ingredient_id"": """"}, {""ingredient_name"": ""ORANGE (AFRICAN/EGYPT) NAVEL (CLASS A)"", ""quantity"": 0.45, ""unit"": ""g"", ""item_code"": ""PR000092"", ""ingredient_id"": """"}]",[],"1. Wash and Thoroughly Dry | Wash all berries, grapes, and citrus fruits under cold water. | Crucial Step: Dry the fruit completely on clean paper towels or kitchen cloths. Excess surface water will dilute the glaze, make the salad soggy, and cause it to spoil quickly. | 2. Mass Prep and Dicing | Berries & Grapes: Quarter the strawberries. Slice larger grapes in half; leave smaller grapes and blueberries whole. | Pineapple & Kiwi: Cube the pineapple into bite-sized chunks. Peel and dice the kiwi. | Mandarins: Peel and pull apart into segments, checking for stray seeds or tough white pith. | Combine all fruits except the bananas into huge, clean, food-safe catering bins or oversized bowls. | 3. Whisk the Glaze | In a separate bowl, whisk together the orange juice, lime/lemon juice, honey, and zests until completely integrated and the honey dissolves. | Pour the dressing evenly over the fruit mix. Toss very gently using large clean paddles or gloved hands so you don't bruise the berries or mash the kiwi. | 4. Chill & Add Final Fruit | Cover tightly and refrigerate for at least 30 to 60 minutes before serving. (Do not prep more than 4 hours ahead, or the fruits will release too much juice). [5, 12] | Just Before Serving: Peel and slice the bananas. Gently fold them into the salad along with a handful of fresh mint leaves right before it goes to the buffet line. (Adding bananas early causes them to go brown and slimy).",2,,[],specific,"[""KBR-384""]","[""KBR""]",,true
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,Chana Masala (Indian Style),,Breakfast Items,1,"[{""ingredient_name"": ""AMAL CHICK PEAS # 07 1/15KG"", ""quantity"": 70, ""unit"": ""g"", ""item_code"": ""GR003046"", ""ingredient_id"": """"}, {""ingredient_name"": ""DRY ONION (LOCAL)"", ""quantity"": 50, ""unit"": ""g"", ""item_code"": ""PR000020"", ""ingredient_id"": """"}, {""ingredient_name"": ""TOMATO (ADY)"", ""quantity"": 60, ""unit"": ""g"", ""item_code"": ""PR000005"", ""ingredient_id"": """"}, {""ingredient_name"": ""GREEN CHILLI (INDIAN)"", ""quantity"": 3, ""unit"": ""g"", ""item_code"": ""PR000016"", ""ingredient_id"": """"}, {""ingredient_name"": ""GARLIC  (CHINA)"", ""quantity"": 8, ""unit"": ""g"", ""item_code"": ""PR000018"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"", ""quantity"": 0.025, ""unit"": ""l"", ""item_code"": ""221871"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CUMIN WHOLE  10/1KG"", ""quantity"": 1, ""unit"": ""g"", ""item_code"": ""GR000554"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG NIAZ BAY LEAVES 1/1KG"", ""quantity"": 0.04, ""unit"": ""g"", ""item_code"": ""147040"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN TURMERIC POWDER  10/1KG"", ""quantity"": 1.2, ""unit"": ""g"", ""item_code"": ""GR000043"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN RED CHILLI POWDER 10/1KG"", ""quantity"": 2, ""unit"": ""g"", ""item_code"": ""GR000042"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CORIANDER POWDER  10/1KG"", ""quantity"": 4, ""unit"": ""g"", ""item_code"": ""GR000553"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CUMIN POWDER 10/1KG"", ""quantity"": 2, ""unit"": ""g"", ""item_code"": ""GR000583"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN KORMA MASALA 10/1KG"", ""quantity"": 1.5, ""unit"": ""g"", ""item_code"": ""GR001943"", ""ingredient_id"": """"}, {""ingredient_name"": ""Chana masala spice mix"", ""quantity"": 3, ""unit"": ""g"", ""item_code"": ""RCPMIS-V5-005-CHANAMAS"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA REHAN SALT IODIZED 24/700G"", ""quantity"": 4, ""unit"": ""g"", ""item_code"": ""166780"", ""ingredient_id"": """"}, {""ingredient_name"": ""CORIANDER LEAVES (BDL)"", ""quantity"": 15, ""unit"": ""g"", ""item_code"": ""PR000062"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG MOONATY LEMON JUICE 12/1LTR"", ""quantity"": 5, ""unit"": ""ml"", ""item_code"": ""429366"", ""ingredient_id"": """"}, {""ingredient_name"": ""(TAFGA) NOVA WATER 24/0.55-0.6LTR"", ""quantity"": 0.15, ""unit"": ""l"", ""item_code"": ""224894"", ""ingredient_id"": """"}]",[],Soak & Cook Chickpeas | Soak overnight (8–10 hrs). | Pressure cook until soft (but not mushy). | Prepare Masala Base | Heat oil in large pot. | Add cumin seeds & bay leaves. | Add onions → cook until golden brown. | Add Aromatics | Add ginger-garlic paste & green chili. | Sauté until raw smell disappears. | Tomato & Spices | Add tomatoes and cook until oil separates. | Add all powdered spices + salt. | Combine Chickpeas | Add cooked chickpeas + water. | Simmer for 30–40 minutes for thick gravy. | Finish | Add garam masala + lemon juice. | Garnish with fresh coriander. | 🍽️ Portioning | 150 g per serving | Total yield ≈ 15 kg finished dish | 🔥 Approximate Nutrition (Per 150 g Serving) | Calories: 180–220 kcal | Protein: 7–9 g | Carbohydrates: 25–30 g | Fat: 6–8 g | Fiber: 6–8 g | ⚠️ Allergen Information | Contains: | ❗ Legumes (Chickpeas),,,"[""milk""]",specific,"[""KBR-384""]","[""KBR""]",,true
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (100 Pax),,Breakfast Items,1,"[{""ingredient_name"": ""A-MELOW INDIAN YELLOW SPLIT CHICK PEAS 1/15KG"", ""quantity"": 60, ""unit"": ""g"", ""item_code"": ""386163"", ""ingredient_id"": """"}, {""ingredient_name"": ""DRY ONION (LOCAL)"", ""quantity"": 25, ""unit"": ""g"", ""item_code"": ""PR000020"", ""ingredient_id"": """"}, {""ingredient_name"": ""TOMATO (ADY)"", ""quantity"": 25, ""unit"": ""g"", ""item_code"": ""PR000005"", ""ingredient_id"": """"}, {""ingredient_name"": ""GARLIC  (CHINA)"", ""quantity"": 4, ""unit"": ""g"", ""item_code"": ""PR000018"", ""ingredient_id"": """"}, {""ingredient_name"": ""GREEN CHILLI (INDIAN)"", ""quantity"": 2, ""unit"": ""g"", ""item_code"": ""PR000016"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"", ""quantity"": 0.015, ""unit"": ""l"", ""item_code"": ""221871"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CUMIN WHOLE  10/1KG"", ""quantity"": 1, ""unit"": ""g"", ""item_code"": ""GR000554"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN TURMERIC POWDER  10/1KG"", ""quantity"": 0.8, ""unit"": ""g"", ""item_code"": ""GR000043"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN RED CHILLI POWDER 10/1KG"", ""quantity"": 1.2, ""unit"": ""g"", ""item_code"": ""GR000042"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CORIANDER POWDER  10/1KG"", ""quantity"": 2, ""unit"": ""g"", ""item_code"": ""GR000553"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN KORMA MASALA 10/1KG"", ""quantity"": 1, ""unit"": ""g"", ""item_code"": ""GR001943"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA REHAN SALT IODIZED 24/700G"", ""quantity"": 2.5, ""unit"": ""g"", ""item_code"": ""166780"", ""ingredient_id"": """"}, {""ingredient_name"": ""CORIANDER LEAVES (BDL)"", ""quantity"": 5, ""unit"": ""g"", ""item_code"": ""PR000062"", ""ingredient_id"": """"}, {""ingredient_name"": ""(TAFGA) NOVA WATER 24/0.55-0.6LTR"", ""quantity"": 0.2, ""unit"": ""l"", ""item_code"": ""224894"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG MOONATY LEMON JUICE 12/1LTR"", ""quantity"": 2, ""unit"": ""ml"", ""item_code"": ""429366"", ""ingredient_id"": """"}]",[],"Wash & soak dal | Wash chana dal thoroughly and soak for 1–2 hours. | Boil dal | Cook dal with turmeric and water until soft but not mushy (approx. 20–30 min in bulk cooker). | Prepare masala base | Heat oil/ghee in large pot. | Add cumin seeds → let splutter. | Add onions → sauté until golden brown. | Add aromatics | Add ginger-garlic paste and green chili → cook until raw smell disappears. | Add tomatoes & spices | Add tomatoes, red chili powder, coriander powder, salt. | Cook until oil separates. | Combine dal | Add cooked dal to masala. | Adjust consistency with water. | Final seasoning | Add garam masala and simmer for 10–15 minutes. | Garnish with fresh coriander and lemon juice. | 🔥 Nutritional Value (Per 150 g Serving - Approx.) | Nutrient | Amount | Calories | 180–220 kcal | Protein | 9–11 g | Carbohydrates | 22–25 g | Fat | 6–8 g | Fiber | 6–8 g | ⚠️ Allergen Information | Legumes (Chana Dal / Chickpeas) – main allergen | Possible cross-contact: | Dairy (if ghee is used) | Gluten (if processed in shared kitchen) | Free from: | Nuts (unless contaminated) | Eggs | Seafood | ✅ Notes for Catering | Maintain medium-thick consistency for buffet service. | Use ghee + oil mix for better flavor in premium service.",,,"[""milk""]",specific,"[""KBR-384""]","[""KBR""]",,true
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,Dal Masoor (Indian Style) – 100 Pax,,Breakfast Items,1,"[{""ingredient_name"": ""A-MELLOW PULSE RED LENTIL 1/15KG"", ""quantity"": 70, ""unit"": ""g"", ""item_code"": ""142007"", ""ingredient_id"": """"}, {""ingredient_name"": ""(TAFGA) NOVA WATER 24/0.55-0.6LTR"", ""quantity"": 0.3, ""unit"": ""l"", ""item_code"": ""224894"", ""ingredient_id"": """"}, {""ingredient_name"": ""DRY ONION (LOCAL)"", ""quantity"": 30, ""unit"": ""g"", ""item_code"": ""PR000020"", ""ingredient_id"": """"}, {""ingredient_name"": ""TOMATO (ADY)"", ""quantity"": 40, ""unit"": ""g"", ""item_code"": ""PR000005"", ""ingredient_id"": """"}, {""ingredient_name"": ""GREEN CHILLI (INDIAN)"", ""quantity"": 2.5, ""unit"": ""g"", ""item_code"": ""PR000016"", ""ingredient_id"": """"}, {""ingredient_name"": ""GARLIC  (CHINA)"", ""quantity"": 5, ""unit"": ""g"", ""item_code"": ""PR000018"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN TURMERIC POWDER  10/1KG"", ""quantity"": 1.2, ""unit"": ""g"", ""item_code"": ""GR000043"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN RED CHILLI POWDER 10/1KG"", ""quantity"": 1.5, ""unit"": ""g"", ""item_code"": ""GR000042"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CORIANDER POWDER  10/1KG"", ""quantity"": 3, ""unit"": ""g"", ""item_code"": ""GR000553"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CUMIN WHOLE  10/1KG"", ""quantity"": 1.2, ""unit"": ""g"", ""item_code"": ""GR000554"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN KORMA MASALA 10/1KG"", ""quantity"": 1.2, ""unit"": ""g"", ""item_code"": ""GR001943"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA REHAN SALT IODIZED 24/700G"", ""quantity"": 4.5, ""unit"": ""g"", ""item_code"": ""166780"", ""ingredient_id"": """"}]",[],"1. Prepare the Dal | Wash masoor dal thoroughly. | Boil with water, turmeric, and a little salt. | Cook until soft (approx. 25–30 minutes). | 2. Masala Base | Heat oil/ghee in a large pot. | Add cumin seeds → let them crackle. | Add onions → sauté until golden brown. | Add ginger-garlic paste → cook until raw smell disappears. | Add tomatoes → cook until oil separates. | 3. Add Spices | Add red chili powder, coriander powder, salt. | Cook the masala for 8–10 minutes. | 4. Combine | Add cooked dal into masala. | Mix well and adjust consistency with hot water. | Simmer for 15–20 minutes. | 5. Final Tadka | Heat oil separately. | Add garlic slices, cumin seeds, dry red chilies. | Pour hot tempering over dal. | 6. Garnish & Serve | Garnish with coriander leaves and lemon wedges. | Nutritional Information (Per 150 g Serving – Approx.) | Calories: 160–180 kcal | Protein: 9–11 g | Carbohydrates: 20–24 g | Fat: 5–7 g | Fiber: 6–8 g | Allergen Information | Contains: | None of the major allergens by default | May Contain (depending on kitchen handling): | Gluten (cross-contamination) | Dairy (if ghee is used instead of oil) | Chef Notes | Adjust thickness depending on service style (buffet vs plated). | For richer flavor, increase ghee in tempering. | Can be held hot for long service without quality loss.",,,"[""milk""]",specific,"[""KBR-384""]","[""KBR""]",,true
Dall Mong KBR-384 ONEGO V3,RCP-009-DALLMONG-KBR384ONEGOV3,Fried Dall Mongo Recipe (100 pax),,Breakfast Items,1,"[{""ingredient_name"": ""A-TAFGA MELLOW DAL MOONG WHL 1/15KG"", ""quantity"": 150, ""unit"": ""g"", ""item_code"": ""180808"", ""ingredient_id"": """"}, {""ingredient_name"": ""DRY ONION (LOCAL)"", ""quantity"": 50, ""unit"": ""g"", ""item_code"": ""PR000020"", ""ingredient_id"": """"}, {""ingredient_name"": ""TOMATO (ADY)"", ""quantity"": 50, ""unit"": ""g"", ""item_code"": ""PR000005"", ""ingredient_id"": """"}, {""ingredient_name"": ""GARLIC  (CHINA)"", ""quantity"": 5, ""unit"": ""g"", ""item_code"": ""PR000018"", ""ingredient_id"": """"}, {""ingredient_name"": ""GREEN CHILLI (INDIAN)"", ""quantity"": 3, ""unit"": ""g"", ""item_code"": ""PR000016"", ""ingredient_id"": """"}, {""ingredient_name"": ""GINGER (CHINA)"", ""quantity"": 2.5, ""unit"": ""g"", ""item_code"": ""PR000019"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR"", ""quantity"": 0.025, ""unit"": ""l"", ""item_code"": ""221871"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CUMIN WHOLE  10/1KG"", ""quantity"": 1, ""unit"": ""g"", ""item_code"": ""GR000554"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN CORIANDER POWDER  10/1KG"", ""quantity"": 2, ""unit"": ""g"", ""item_code"": ""GR000553"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN TURMERIC POWDER  10/1KG"", ""quantity"": 0.5, ""unit"": ""g"", ""item_code"": ""GR000043"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN RED CHILLI POWDER 10/1KG"", ""quantity"": 1, ""unit"": ""g"", ""item_code"": ""GR000042"", ""ingredient_id"": """"}, {""ingredient_name"": ""SHAN KORMA MASALA 10/1KG"", ""quantity"": 0.5, ""unit"": ""g"", ""item_code"": ""GR001943"", ""ingredient_id"": """"}, {""ingredient_name"": ""CORIANDER LEAVES (BDL)"", ""quantity"": 5, ""unit"": ""g"", ""item_code"": ""PR000062"", ""ingredient_id"": """"}]",[],"Soak Dall Mongo | Soak 15 kg of Dall Mongo in water for 3–4 hours or overnight to reduce cooking time. | Boil the Beans | Drain and rinse the soaked beans. | Boil in salted water until tender but not mushy (approx. 20–25 minutes). Drain excess water. | Prepare the Masala | Heat 2.5 L oil/ghee in large frying pans or industrial woks. | Add cumin seeds; when they splutter, add sliced onions. Fry until golden brown. | Add garlic, ginger, and green chilies. Sauté for 2–3 minutes. | Add chopped tomatoes, coriander powder, turmeric, red chili powder. Cook until tomatoes soften and oil separates. | Combine and Fry | Add boiled mung beans to the masala. | Mix well and fry on medium heat for 10–15 minutes to allow beans to absorb flavors. | Finish | Sprinkle garam masala and chopped coriander leaves. | Adjust salt and spices as needed. | Serving | Each serving: 150 g | Serve hot as a side dish with rice, roti, or naan. | Nutritional Info (Approximate per 150 g serving) | Nutrient | Amount per 150 g | Calories | 210 kcal | Protein | 12 g | Carbohydrates | 28 g | Fat | 6 g | Fiber | 7 g | Allergens | Contains: None inherently (mung beans are naturally gluten-free and nut-free). | May contain: Traces if cooked in shared oil with dairy (ghee) or other allergens.",,,"[""milk""]",specific,"[""KBR-384""]","[""KBR""]",,true
Foul Medames KBR-384 ONEGO V3,RCP-010-FOULMEDAME-KBR384ONEGOV3,"Foul Medames (stewed fava beans) for 150 grams per serving,",,Breakfast Items,1,"[{""ingredient_name"": ""A-TFGA LUNA FOUL MEDAMAS 24/400G"", ""quantity"": 100, ""unit"": ""g"", ""item_code"": ""191262"", ""ingredient_id"": """"}, {""ingredient_name"": ""TAFGA OLIVE OIL 12/500ML"", ""quantity"": 5, ""unit"": ""ml"", ""item_code"": ""185208"", ""ingredient_id"": """"}, {""ingredient_name"": ""TFG MOONATY LEMON JUICE 12/1LTR"", ""quantity"": 5, ""unit"": ""ml"", ""item_code"": ""429366"", ""ingredient_id"": """"}]",[],"Cook the beans: If using dried fava beans, soak overnight and boil until tender. If using canned/cooked, drain and rinse. | Prepare the mixture: Mash the beans slightly in a bowl, leaving some whole for texture. | Season: Add minced garlic, olive oil, lemon juice, and salt. Mix well. | Garnish & Serve: Sprinkle chopped parsley and optional diced tomatoes on top. Serve warm or at room temperature. | Nutrition (per 150 g serving) | Calories: ~180 kcal | Protein: 9 g | Carbohydrates: 27 g | Fat: 5 g | Fiber: 8 g | Allergen Information | Contains legumes (fava beans) | May contain traces of garlic (if sensitive)",,,[],specific,"[""KBR-384""]","[""KBR""]",,true
