recipe_code,recipe_name,servings,ingredient_lines,mapped_master_lines,missing_master_lines,incompatible_unit_lines,has_full_cost,cost_per_serving,total_cost,missing_items,incompatible_units
RCP-001-CLASSICCOF-KBR384ONEGOV3,CLASSIC COFFEE & TANG KBR-384 ONEGO V3,1,6,6,0,0,YES,1.1671,1.1671,,
RCP-002-CLASSICRUS-KBR384ONEGOV3,Classic Russian Olivier Salad KBR-384 ONEGO V3,1,10,9,1,0,NO,,,RCPMIS-V5-001-FRESHDIL:Fresh Dill,
RCP-003-FRUITSALAD-KBR384ONEGOV3,FRUIT SALAD KBR-384 ONEGO V3,1,8,8,0,0,YES,0.9476,0.9476,,
RCP-004-MIXMELONPO-KBR384ONEGOV3,MIX MELON PORTION KBR-384 ONEGO V3,1,2,2,0,0,YES,0.375,0.375,,
RCP-005-VIPFRUITSA-KBR384ONEGOV3,VIP FRUIT SALAD KBR-384 ONEGO V3,1,10,7,3,0,NO,,,RCPMIS-V5-002-STRAWBER:Strawberries | RCPMIS-V5-003-WHOLEPIN:whole Pineapples | RCPMIS-V5-004-FRESHBLU:Fresh Blueberries,
RCP-006-CHANAMASAL-KBR384ONEGOV3,Chana Masala KBR-384 ONEGO V3,1,18,17,1,0,NO,,,RCPMIS-V5-005-CHANAMAS:Chana masala spice mix,
RCP-007-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,1,15,15,0,0,YES,1.1051,1.1051,,
RCP-008-DALMASOOR-KBR384ONEGOV3,Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,1,12,12,0,0,YES,1.1237,1.1237,,
RCP-009-DALLMONG-KBR384ONEGOV3,Dall Mong KBR-384 ONEGO V3,1,13,13,0,0,YES,1.6378,1.6378,,
RCP-010-FOULMEDAME-KBR384ONEGOV3,Foul Medames KBR-384 ONEGO V3,1,3,3,0,0,YES,0.6285,0.6285,,
RCP-011-BOILEDEGGS-KBR384ONEGOV3,Boiled Eggs KBR-384 ONEGO V3,1,3,3,0,0,YES,0.9003,0.9003,,
RCP-012-CHEESEOMEL-KBR384ONEGOV3,Cheese Omelette.with onion tomato KBR-384 ONEGO V3,1,6,6,0,0,YES,540.0616,540.0616,,
RCP-013-EGGSHAKSHU-KBR384ONEGOV3,Egg Shakshuka KBR-384 ONEGO V3,1,7,6,1,0,NO,,,RCPMIS-V5-006-FRESHPAR:Fresh parsley,
RCP-014-EGGWITHPOT-KBR384ONEGOV3,Egg with Potato KBR-384 ONEGO V3,1,3,3,0,0,YES,1.2328,1.2328,,
RCP-015-FRIEDEGGS2-KBR384ONEGOV3,Fried Eggs.2 pcs KBR-384 ONEGO V3,1,2,2,0,0,YES,1.0468,1.0468,,
RCP-016-OMLETTEWIT-KBR384ONEGOV3,Omlette with onion and tomato KBR-384 ONEGO V3,1,3,3,0,0,YES,1.076,1.076,,
RCP-017-PANOMELETT-KBR384ONEGOV3,Pan omelette KBR-384 ONEGO V3,1,5,5,0,0,YES,17.0181,17.0181,,
RCP-018-PLANCHEESE-KBR384ONEGOV3,Plan cheese omlette KBR-384 ONEGO V3,1,5,5,0,0,YES,18.7305,18.7305,,
RCP-019-SCRAMBLEDE-KBR384ONEGOV3,Scrambled Eggs KBR-384 ONEGO V3,1,3,3,0,0,YES,1.0979,1.0979,,
RCP-020-VEGETABLEO-KBR384ONEGOV3,Vegetable Omelette KBR-384 ONEGO V3,1,7,7,0,0,YES,2.3577,2.3577,,
RCP-021-EGGCURRY-KBR384ONEGOV3,Egg Curry KBR-384 ONEGO V3,1,16,16,0,1,NO,1076.0156,1076.0156,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 60g->EA
RCP-022-FRENCHTOAS-KBR384ONEGOV3,French Toast KBR-384 ONEGO V3,1,6,6,0,1,NO,6.3059,6.3059,,BK000001:SLICED BREAD WHITE 2pieces->PAK
RCP-023-OATMEAL-KBR384ONEGOV3,Oatmeal KBR-384 ONEGO V3,1,7,7,0,0,YES,1.9669,1.9669,,
RCP-024-BUTTERCHIC-KBR384ONEGOV3,Butter Chicken KBR-384 ONEGO V3,1,18,18,0,1,NO,1078.893,1078.893,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 60g->EA
RCP-025-CHICKENBIR-KBR384ONEGOV3,Chicken Biryani KBR-384 ONEGO V3,1,26,25,1,0,NO,,,RCPMIS-V5-007-SAFFRON:Saffron,
RCP-026-CHICKENBRO-KBR384ONEGOV3,Chicken Broasted KBR-384 ONEGO V3,1,9,9,0,0,YES,5.024,5.024,,
RCP-027-CHICKENCHI-KBR384ONEGOV3,Chicken Chilli KBR-384 ONEGO V3,1,21,20,1,0,NO,,,RCPMIS-V5-008-CHILISAU:Chili sauce,
RCP-028-CHICKENCUR-KBR384ONEGOV3,Chicken Curry KBR-384 ONEGO V3,1,14,13,1,0,NO,,,RCPMIS-V5-009-WHOLESPI:Whole spices,
RCP-029-CHICKENGRI-KBR384ONEGOV3,Chicken Grilled with Lemon Sauce KBR-384 ONEGO V3,1,13,12,1,0,NO,,,RCPMIS-V5-006-FRESHPAR:Fresh parsley,
RCP-030-CHICKENHAL-KBR384ONEGOV3,Chicken Haleem KBR-384 ONEGO V3,1,17,17,0,0,YES,523.6184,523.6184,,
RCP-031-CHICKENHAN-KBR384ONEGOV3,Chicken Handi KBR-384 ONEGO V3,1,23,23,0,0,YES,6.218,6.218,,
RCP-032-CHICKENJAL-KBR384ONEGOV3,Chicken Jalfrezi KBR-384 ONEGO V3,1,17,17,0,0,YES,3.5798,3.5798,,
RCP-033-CHICKENKOR-KBR384ONEGOV3,Chicken Korma KBR-384 ONEGO V3,1,1,1,0,0,YES,1.8667,1.8667,,
RCP-034-CHICKENMAS-KBR384ONEGOV3,Chicken Masala. bone in chicken KBR-384 ONEGO V3,1,15,15,0,1,NO,540.4071,540.4071,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 30g->EA
RCP-035-CHICKENPAL-KBR384ONEGOV3,Chicken Palak KBR-384 ONEGO V3,1,16,16,0,0,YES,2.6969,2.6969,,
RCP-036-CHICKENTAN-KBR384ONEGOV3,Chicken Tandori KBR-384 ONEGO V3,1,19,19,0,0,YES,5.1204,5.1204,,
RCP-037-CHICKENTIK-KBR384ONEGOV3,Chicken Tikka KBR-384 ONEGO V3,1,18,18,0,0,YES,6.856,6.856,,
RCP-038-CRISPYCHIC-KBR384ONEGOV3,Crispy Chicken Strips KBR-384 ONEGO V3,1,15,15,0,0,YES,5.1706,5.1706,,
RCP-039-ARABICFOUL-KBR384ONEGOV3,Arabic Foul Medames KBR-384 ONEGO V3,1,10,9,1,0,NO,,,RCPMIS-V5-006-FRESHPAR:Fresh parsley,
RCP-040-CHICKPEASM-KBR384ONEGOV3,Chickpeas Masala KBR-384 ONEGO V3,1,15,15,0,0,YES,1.3844,1.3844,,
RCP-041-DAALLOBIA-KBR384ONEGOV3,Daal Lobia KBR-384 ONEGO V3,1,12,12,0,0,YES,1.4468,1.4468,,
RCP-042-DALCHANAFR-KBR384ONEGOV3,Dal Chana Fry (Dall 2) KBR-384 ONEGO V3,1,15,15,0,0,YES,1.1051,1.1051,,
RCP-043-DALMAKHNI-KBR384ONEGOV3,Dal Makhni KBR-384 ONEGO V3,1,4,4,0,0,YES,1.4362,1.4362,,
RCP-044-DALMASHFRY-KBR384ONEGOV3,Dal Mash Fry KBR-384 ONEGO V3,1,14,14,0,0,YES,1.156,1.156,,
RCP-045-DALMASOOR-KBR384ONEGOV3,Dal Masoor (Dall 2) KBR-384 ONEGO V3,1,12,12,0,0,YES,1.1237,1.1237,,
RCP-046-DALLCHANA1-KBR384ONEGOV3,Dall Chana100 pax KBR-384 ONEGO V3,1,14,14,0,0,YES,0.9415,0.9415,,
RCP-047-DALLMAKHNI-KBR384ONEGOV3,Dall Makhni Mix KBR-384 ONEGO V3,1,11,11,0,1,NO,1.4522,1.4522,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 0.015l->EA
RCP-048-DALLMASH-KBR384ONEGOV3,Dall Mash KBR-384 ONEGO V3,1,14,14,0,0,YES,1.156,1.156,,
RCP-049-DALLMONGO-KBR384ONEGOV3,Dall Mongo KBR-384 ONEGO V3,1,13,13,0,0,YES,1.6378,1.6378,,
RCP-050-BAKEDLEMON-KBR384ONEGOV3,Baked Lemon Butter fillet fish KBR-384 ONEGO V3,1,10,9,1,0,NO,,,RCPMIS-V5-006-FRESHPAR:Fresh Parsley,
RCP-051-FISHCURRY-KBR384ONEGOV3,Fish Curry KBR-384 ONEGO V3,1,16,16,0,1,NO,1079.3941,1079.3941,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 60g->EA
RCP-052-FRIEDFINGE-KBR384ONEGOV3,Fried Finger Fish KBR-384 ONEGO V3,1,16,16,0,0,YES,3.5428,3.5428,,
RCP-053-GRILLEDFIS-KBR384ONEGOV3,Grilled Fish Fillet KBR-384 ONEGO V3,1,15,14,1,1,NO,,,RCPMIS-V5-010-FINELYCH:Finely chopped fresh dill or parsley,194074:A-TAFGA FRESHLY OREGANO/ZAATAR LEAVES 0.5g->EA
RCP-054-ALLOGOSHT-KBR384ONEGOV3,Allo Gosht KBR-384 ONEGO V3,1,7,7,0,0,YES,4.6194,4.6194,,
RCP-055-MUTTONBIRY-KBR384ONEGOV3,Mutton Biryani KBR-384 ONEGO V3,1,20,20,0,0,YES,9.8162,9.8162,,
RCP-056-MUTTONCURR-KBR384ONEGOV3,Mutton Curry KBR-384 ONEGO V3,1,22,20,2,1,NO,,,RCPMIS-V5-009-WHOLESPI:Whole Spices | RCPMIS-V5-011-MEATMASA:Meat masala powder,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 40g->EA
RCP-057-MUTTONKORM-KBR384ONEGOV3,Mutton Korma KBR-384 ONEGO V3,1,17,16,1,0,NO,,,RCPMIS-V5-009-WHOLESPI:Whole spices,
RCP-058-MUTTONKADA-KBR384ONEGOV3,Mutton Kadai KBR-384 ONEGO V3,1,16,16,0,0,YES,4.8809,4.8809,,
RCP-059-PASTAALANO-KBR384ONEGOV3,Pasta ala normah KBR-384 ONEGO V3,1,11,11,0,0,YES,4.6511,4.6511,,
RCP-060-PASTAWITHT-KBR384ONEGOV3,Pasta with Tomato Sauce KBR-384 ONEGO V3,1,14,14,0,2,NO,2169.5497,2169.5497,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 120g->EA | 194074:A-TAFGA FRESHLY OREGANO/ZAATAR LEAVES 1g->EA
RCP-061-PENNEPASTA-KBR384ONEGOV3,Penne pasta KBR-384 ONEGO V3,1,13,13,0,1,NO,63.5294,63.5294,,381887:A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10 0.05l->EA
RCP-062-VEGETABLEN-KBR384ONEGOV3,Vegetable Noodles KBR-384 ONEGO V3,1,14,13,1,0,NO,,,RCPMIS-V5-008-CHILISAU:Chili sauce,
RCP-063-ARABICMAND-KBR384ONEGOV3,arabic Mandi Rice KBR-384 ONEGO V3,1,18,18,0,0,YES,5.4805,5.4805,,
RCP-064-BIRYANIRIC-KBR384ONEGOV3,Biryani Rice KBR-384 ONEGO V3,1,5,5,0,0,YES,3.7617,3.7617,,
RCP-065-BUKHARIRIC-KBR384ONEGOV3,Bukhari Rice KBR-384 ONEGO V3,1,20,20,0,0,YES,3.2254,3.2254,,
RCP-066-CHICKPEARI-KBR384ONEGOV3,Chickpea Rice KBR-384 ONEGO V3,1,4,4,0,0,YES,0.7698,0.7698,,
RCP-067-CHINESEEGG-KBR384ONEGOV3,Chinese Egg Fried Rice KBR-384 ONEGO V3,1,11,11,0,0,YES,1.2199,1.2199,,
RCP-068-CUMINRICE-KBR384ONEGOV3,Cumin Rice KBR-384 ONEGO V3,1,1,1,0,0,YES,0.516,0.516,,
RCP-069-GREENPEASR-KBR384ONEGOV3,Green Peas Rice KBR-384 ONEGO V3,1,2,2,0,0,YES,0.7708,0.7708,,
RCP-070-PLAINKABSA-KBR384ONEGOV3,Plain Kabsa Rice KBR-384 ONEGO V3,1,16,16,0,0,YES,1565.7877,1565.7877,,
RCP-071-PLAINPULAO-KBR384ONEGOV3,Plain Pulao Rice KBR-384 ONEGO V3,1,1,1,0,0,YES,0.516,0.516,,
RCP-072-PULAORICE-KBR384ONEGOV3,Pulao Rice KBR-384 ONEGO V3,1,15,14,1,0,NO,,,RCPMIS-V5-009-WHOLESPI:Whole Spices,
RCP-073-SAYADIYAHR-KBR384ONEGOV3,Sayadiyah Rice KBR-384 ONEGO V3,1,21,21,0,0,YES,8.0341,8.0341,,
RCP-074-VEGETABLER-KBR384ONEGOV3,Vegetable Rice KBR-384 ONEGO V3,1,14,14,0,0,YES,2.9519,2.9519,,
RCP-075-VERMICELLI-KBR384ONEGOV3,Vermicelli Rice KBR-384 ONEGO V3,1,7,7,0,0,YES,0.6826,0.6826,,
RCP-076-WHITERICE-KBR384ONEGOV3,White Rice KBR-384 ONEGO V3,1,4,4,0,0,YES,313.3574,313.3574,,
RCP-077-YELLOWRICE-KBR384ONEGOV3,Yellow Rice KBR-384 ONEGO V3,1,23,22,1,0,NO,,,RCPMIS-V5-012-SAFFRONT:Saffron Threads,
RCP-078-ZARDARICE-KBR384ONEGOV3,Zarda Rice KBR-384 ONEGO V3,1,13,11,2,0,NO,,,RCPMIS-V5-007-SAFFRON:Saffron | RCPMIS-V5-013-KHOYA:Khoya,
RCP-079-CHANACHAT-KBR384ONEGOV3,Chana Chat KBR-384 ONEGO V3,1,18,15,3,0,NO,,,RCPMIS-V5-014-TAMARIND:Tamarind chutney | RCPMIS-V5-015-FINESEV:Fine Sev | RCPMIS-V5-016-PAPDI:Papdi,
RCP-080-GREENCHUTN-KBR384ONEGOV3,Green Chutney KBR-384 ONEGO V3,1,10,10,0,0,YES,1.3328,1.3328,,
RCP-081-GREENSALAD-KBR384ONEGOV3,Green Salad Mix KBR-384 ONEGO V3,1,9,9,0,0,YES,0.9109,0.9109,,
RCP-082-HUMMUSFOR-KBR384ONEGOV3,Hummus for KBR-384 ONEGO V3,1,11,11,0,0,YES,6.5133,6.5133,,
RCP-083-RAITA-KBR384ONEGOV3,Raita KBR-384 ONEGO V3,1,11,11,0,0,YES,187.6707,187.6707,,
RCP-084-YOGURTCUCU-KBR384ONEGOV3,Yogurt Cucumber Salad KBR-384 ONEGO V3,1,8,8,0,0,YES,1.6322,1.6322,,
RCP-085-LABASHREEN-KBR384ONEGOV3,Lab. a shreen KBR-384 ONEGO V3,1,14,11,3,0,NO,,,RCPMIS-V5-013-KHOYA:Khoya | RCPMIS-V5-017-ROSESYRU:Rose syrup | RCPMIS-V5-018-CHIASEED:Chia seeds / Tukmaria,
RCP-086-MAHALABIA-KBR384ONEGOV3,Mahalabia KBR-384 ONEGO V3,1,7,7,0,0,YES,1.1674,1.1674,,
RCP-087-OMALI-KBR384ONEGOV3,omali KBR-384 ONEGO V3,1,13,13,0,0,YES,396.4999,396.4999,,
RCP-088-RICEPUDDIN-KBR384ONEGOV3,Rice pudding KBR-384 ONEGO V3,1,11,11,0,0,YES,3.2777,3.2777,,
RCP-089-SHAHITUKRA-KBR384ONEGOV3,Shahi Tukra KBR-384 ONEGO V3,1,10,9,1,1,NO,,,RCPMIS-V5-007-SAFFRON:Saffron,BK000001:SLICED BREAD WHITE 1.2pieces->PAK
RCP-090-STANDARDCA-KBR384ONEGOV3,Standard Catering Sweet KBR-384 ONEGO V3,1,18,16,2,0,NO,,,RCPMIS-V5-019-FLAVORED:Flavored Gelatin Powder | RCPMIS-V5-020-UNFLAVOR:Unflavored gelatin powder,
RCP-091-VERMICELLI-KBR384ONEGOV3,Vermicelli with Milk KBR-384 ONEGO V3,1,9,8,1,0,NO,,,RCPMIS-V5-007-SAFFRON:Saffron,
RCP-092-ACHARIOKRA-KBR384ONEGOV3,Achari Okra KBR-384 ONEGO V3,1,13,12,1,0,NO,,,RCPMIS-V5-021-ACHARIMA:Achari Masala,
RCP-093-ALLOBUJIYA-KBR384ONEGOV3,allo bujiya for KBR-384 ONEGO V3,1,9,8,1,0,NO,,,RCPMIS-V5-022-ASAFOETI:Asafoetida,
RCP-094-ALOOGOBI-KBR384ONEGOV3,ALOO GOBI KBR-384 ONEGO V3,1,15,15,0,0,YES,1.0834,1.0834,,
RCP-095-BITTERGOUR-KBR384ONEGOV3,Bitter Gourd POTATO KBR-384 ONEGO V3,1,16,16,0,0,YES,0.969,0.969,,
RCP-096-CARROTPOTA-KBR384ONEGOV3,carrot potato green peas mix KBR-384 ONEGO V3,1,16,16,0,0,YES,1.0361,1.0361,,
RCP-097-CAULIFLOWE-KBR384ONEGOV3,Cauliflower Potato Curry KBR-384 ONEGO V3,1,18,18,0,0,YES,1.4023,1.4023,,
RCP-098-DAHIKARIWI-KBR384ONEGOV3,Dahi Kari with Pakora KBR-384 ONEGO V3,1,23,22,1,0,NO,,,RCPMIS-V5-023-CURRYLEA:Curry leaves,
RCP-099-GREENBEANS-KBR384ONEGOV3,Green Beans KBR-384 ONEGO V3,1,2,2,0,0,YES,0.66,0.66,,
RCP-100-LONEMARROW-KBR384ONEGOV3,LONE MARROW POTATO SWEET PEPPER KBR-384 ONEGO V3,1,16,16,0,0,YES,0.8353,0.8353,,
RCP-101-MIXVEGETAB-KBR384ONEGOV3,Mix Vegetable Curry KBR-384 ONEGO V3,1,16,16,0,0,YES,0.9147,0.9147,,
RCP-102-ROASTPOTAT-KBR384ONEGOV3,Roast Potatoes KBR-384 ONEGO V3,1,7,6,1,0,NO,,,RCPMIS-V5-024-FRESHROS:Fresh rosemary / thyme,
