recipe_name,recipe_code,matched_source_file,source_servings,source_ingredient_count,upload_ingredient_count,missing_master_count,match_score,name_similarity,token_overlap,needs_review
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,100,6,6,0,2.15,1.0,1.0,
Classic Russian Olivier Salad KBR-384 ONEGO V3,RCP-002-CLASSICRUS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\Classic Russian Olivier Salad scaled for 100 servings.docx,100,10,10,1,2.15,1.0,1.0,YES
FRUIT SALAD KBR-384 ONEGO V3,RCP-003-FRUITSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\FRUIT SALAD.docx,100,8,8,0,2.15,1.0,1.0,
MIX MELON PORTION KBR-384 ONEGO V3,RCP-004-MIXMELONPO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\MIX MELON PORTION .docx,100,2,2,0,2.15,1.0,1.0,
VIP FRUIT SALAD KBR-384 ONEGO V3,RCP-005-VIPFRUITSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\VIP FRUIT SALAD RECIPE .docx,100,10,10,3,2.15,1.0,1.0,YES
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,100,18,18,1,2.15,1.0,1.0,YES
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,100,15,15,0,2.15,1.0,1.0,
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,100,12,12,0,2.15,1.0,1.0,
Dall Mong KBR-384 ONEGO V3,RCP-009-DALLMONG-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dall Mong Recipe. 100 pax.docx,100,13,13,0,2.15,1.0,1.0,
Foul Medames KBR-384 ONEGO V3,RCP-010-FOULMEDAME-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Foul Medames.01 pax.docx,1,3,3,0,2.15,1.0,1.0,
Boiled Eggs KBR-384 ONEGO V3,RCP-011-BOILEDEGGS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Boiled Eggs.docx,100,3,3,0,2.15,1.0,1.0,
Cheese Omelette.with onion tomato KBR-384 ONEGO V3,RCP-012-CHEESEOMEL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,1,6,6,0,2.15,1.0,1.0,
Egg Shakshuka KBR-384 ONEGO V3,RCP-013-EGGSHAKSHU-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg Shakshuka.01 pax.docx,2,7,7,1,2.15,1.0,1.0,YES
Egg with Potato KBR-384 ONEGO V3,RCP-014-EGGWITHPOT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg with Potato Recipe.01 serving.docx,1,3,3,0,2.15,1.0,1.0,
Fried Eggs.2 pcs KBR-384 ONEGO V3,RCP-015-FRIEDEGGS2-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Fried Eggs.2 pcs.docx,1,2,2,0,2.15,1.0,1.0,
Omlette with onion and tomato KBR-384 ONEGO V3,RCP-016-OMLETTEWIT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Omlette with onion and tomato 01 pax.docx,1,3,3,0,2.15,1.0,1.0,
Pan omelette KBR-384 ONEGO V3,RCP-017-PANOMELETT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Pan omelette.docx,100,5,5,0,2.15,1.0,1.0,
Plan cheese omlette KBR-384 ONEGO V3,RCP-018-PLANCHEESE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Plan cheese omlette.docx,1,5,5,0,2.15,1.0,1.0,
Scrambled Eggs KBR-384 ONEGO V3,RCP-019-SCRAMBLEDE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Scrambled Eggs.01 pax.docx,1,3,3,0,2.15,1.0,1.0,
Vegetable Omelette KBR-384 ONEGO V3,RCP-020-VEGETABLEO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Vegetable Omelette.01 serving.docx,1,7,7,0,2.15,1.0,1.0,
Egg Curry KBR-384 ONEGO V3,RCP-021-EGGCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\Egg_Curry_Recipe_100_Servings.docx,100,16,16,0,2.15,1.0,1.0,
French Toast KBR-384 ONEGO V3,RCP-022-FRENCHTOAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\French Toast Recipe.01 pax.docx,1,6,6,0,2.15,1.0,1.0,
Oatmeal KBR-384 ONEGO V3,RCP-023-OATMEAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\Oatmeal_Recipe_100_Portions.docx,100,7,7,0,2.15,1.0,1.0,
Butter Chicken KBR-384 ONEGO V3,RCP-024-BUTTERCHIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Butter Chicken Recipe.100 pax.docx,100,18,18,0,2.15,1.0,1.0,
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,100,26,26,1,2.15,1.0,1.0,YES
