recipe_name,recipe_code,source_file,source_water_text_or_note,source_quantity,source_unit,source_servings,upload_item_code,upload_quantity_for_1_serving,upload_unit
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Hot Water,14.2,l,100,224894,0.142,l
CLASSIC COFFEE & TANG KBR-384 ONEGO V3,RCP-001-CLASSICCOF-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\FW\CLASSIC COFFEE & TANG .docx,Cold Water,18.5,l,100,224894,0.185,l
Chana Masala KBR-384 ONEGO V3,RCP-006-CHANAMASAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Chana Masala.100 pax.docx,Water,15.0,l,100,224894,0.15,l
Dal Chana Fry (Breakfast Items 1) KBR-384 ONEGO V3,RCP-007-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,Water,20.0,l,100,224894,0.2,l
Dal Masoor (Breakfast Items 1) KBR-384 ONEGO V3,RCP-008-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,Water,30.0,l,100,224894,0.3,l
Boiled Eggs KBR-384 ONEGO V3,RCP-011-BOILEDEGGS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Boiled Eggs.docx,Water,40.0,l,100,224894,0.4,l
Pan omelette KBR-384 ONEGO V3,RCP-017-PANOMELETT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Pan omelette.docx,Whole Milk or Water,720.0,ml,100,224894,7.2,ml
Egg Curry KBR-384 ONEGO V3,RCP-021-EGGCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\Egg_Curry_Recipe_100_Servings.docx,Water / Vegetable Stock,15.0,l,100,224894,0.15,l
Butter Chicken KBR-384 ONEGO V3,RCP-024-BUTTERCHIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Butter Chicken Recipe.100 pax.docx,Water,5.0,l,100,224894,0.05,l
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,Water – as required (approx. 2:1 ratio for boiling) | derived from 2:1 rice-water ratio,28,l,100,224894,0.28,l
Chicken Chilli KBR-384 ONEGO V3,RCP-027-CHICKENCHI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,Water/stock,4.0,l,100,224894,0.04,l
Chicken Chilli KBR-384 ONEGO V3,RCP-027-CHICKENCHI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,Water,1.0,l,100,224894,0.01,l
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,Water,20.0,l,100,224894,0.2,l
Arabic Foul Medames KBR-384 ONEGO V3,RCP-039-ARABICFOUL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Arabic Foul Medames.100 pax.docx,Water,3.0,l,100,224894,0.03,l
Dal Chana Fry (Dall 2) KBR-384 ONEGO V3,RCP-042-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,Water,20.0,l,100,224894,0.2,l
Dal Makhni KBR-384 ONEGO V3,RCP-043-DALMAKHNI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Makhni.100 pax.docx,Water,30.0,l,100,224894,0.3,l
Dal Mash Fry KBR-384 ONEGO V3,RCP-044-DALMASHFRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,Water,20.0,l,100,224894,0.2,l
Dal Masoor (Dall 2) KBR-384 ONEGO V3,RCP-045-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,Water,30.0,l,100,224894,0.3,l
Dall Chana100 pax KBR-384 ONEGO V3,RCP-046-DALLCHANA1-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Chana100 pax .docx,Water,16.0,l,100,224894,0.16,l
Dall Makhni Mix KBR-384 ONEGO V3,RCP-047-DALLMAKHNI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Makhni Mix 100 pax .docx,Water,22.0,l,100,224894,0.22,l
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,Water,20.0,l,100,224894,0.2,l
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,Water,3.0,l,100,224894,0.03,l
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,Water,8.0,l,100,224894,0.08,l
Mutton Biryani KBR-384 ONEGO V3,RCP-055-MUTTONBIRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Biryani. 100 pax.docx,Water for boiling – as required | derived from 2:1 rice-water boiling ratio,32,l,100,224894,0.32,l
Mutton Curry KBR-384 ONEGO V3,RCP-056-MUTTONCURR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Curry Recipe.100 pax.docx,Hot water,8.0,l,100,224894,0.08,l
Mutton Korma KBR-384 ONEGO V3,RCP-057-MUTTONKORM-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Korma Recipe. 100 pax.docx,Water,10.0,l,100,224894,0.1,l
Pasta with Tomato Sauce KBR-384 ONEGO V3,RCP-060-PASTAWITHT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Pasta with Tomato Sauce.100 pax.docx,Water,50.0,l,100,224894,0.5,l
Pasta with Tomato Sauce KBR-384 ONEGO V3,RCP-060-PASTAWITHT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Pasta with Tomato Sauce.100 pax.docx,Water / vegetable stock,5.0,l,100,224894,0.05,l
Penne pasta KBR-384 ONEGO V3,RCP-061-PENNEPASTA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Penne pasta Ingredients.100 pax.docx,water,5.0,l,100,224894,0.05,l
arabic Mandi Rice KBR-384 ONEGO V3,RCP-063-ARABICMAND-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\arabic Mandi Rice.100 pax.docx,Water or stock,25.0,l,100,224894,0.25,l
Bukhari Rice KBR-384 ONEGO V3,RCP-065-BUKHARIRIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Bukhari Rice.100 pax.docx,Water or chicken stock,25.0,l,100,224894,0.25,l
Plain Kabsa Rice KBR-384 ONEGO V3,RCP-070-PLAINKABSA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Plain Kabsa Rice Recipe.100 pax.docx,Water / Stock,20.0,l,100,224894,0.2,l
Pulao Rice KBR-384 ONEGO V3,RCP-072-PULAORICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Pulao Rice. 100 pax.docx,Water / Vegetable Stock,16.0,l,100,224894,0.16,l
Sayadiyah Rice KBR-384 ONEGO V3,RCP-073-SAYADIYAHR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Sayadiyah Rice.100 pax.docx,Water or fish stock,25.0,l,100,224894,0.25,l
Vegetable Rice KBR-384 ONEGO V3,RCP-074-VEGETABLER-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,Water,30000.0,ml,100,224894,300,ml
Vermicelli Rice KBR-384 ONEGO V3,RCP-075-VERMICELLI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vermicelli Rice.docx,Boiling Water / Hot Clear Stock,18.0,l,100,224894,0.18,l
White Rice KBR-384 ONEGO V3,RCP-076-WHITERICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\White Rice Recipe.100 pax.docx,Water,20.0,l,100,224894,0.2,l
Yellow Rice KBR-384 ONEGO V3,RCP-077-YELLOWRICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Yellow Rice .docx,Hot Water or Vegetable Stock,13.0,l,100,224894,0.13,l
Zarda Rice KBR-384 ONEGO V3,RCP-078-ZARDARICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Zarda Rice Recipe.100 PAX.docx,Water,9.0,l,100,224894,0.09,l
Green Chutney KBR-384 ONEGO V3,RCP-080-GREENCHUTN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Green Chutney.100 pax.docx,Water,800.0,ml,100,224894,8,ml
Hummus for KBR-384 ONEGO V3,RCP-082-HUMMUSFOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Hummus for 100 pax .docx,Ice-cold water,1.5,l,100,224894,0.015,l
Raita KBR-384 ONEGO V3,RCP-083-RAITA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Raita 100 pax .docx,Chilled water or Milk,500.0,ml,100,224894,5,ml
Lab. a shreen KBR-384 ONEGO V3,RCP-085-LABASHREEN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Lab. a shreen 100 pax.docx,Water,500.0,ml,100,224894,5,ml
Rice pudding KBR-384 ONEGO V3,RCP-088-RICEPUDDIN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Rice pudding.docx,Water,4.0,l,100,224894,0.04,l
Shahi Tukra KBR-384 ONEGO V3,RCP-089-SHAHITUKRA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Shahi Tukra Recipe.100 pax.docx,Water,2.0,l,100,224894,0.02,l
Standard Catering Sweet KBR-384 ONEGO V3,RCP-090-STANDARDCA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Standard Catering Sweet 100 pax  .docx,Boiling Water,4.5,l,100,224894,0.045,l
Standard Catering Sweet KBR-384 ONEGO V3,RCP-090-STANDARDCA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Standard Catering Sweet 100 pax  .docx,Ice-Cold Water,4.5,l,100,224894,0.045,l
Standard Catering Sweet KBR-384 ONEGO V3,RCP-090-STANDARDCA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Standard Catering Sweet 100 pax  .docx,Water,400.0,ml,100,224894,4,ml
Cauliflower Potato Curry KBR-384 ONEGO V3,RCP-097-CAULIFLOWE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Cauliflower Potato Curry.100 pax.docx,Water,6.0,l,100,224894,0.06,l
Dahi Kari with Pakora KBR-384 ONEGO V3,RCP-098-DAHIKARIWI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Dahi Kari with Pakora.100 pax.docx,Water,12.0,l,100,224894,0.12,l
LONE MARROW POTATO SWEET PEPPER KBR-384 ONEGO V3,RCP-100-LONEMARROW-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\LONE MARROW POTATO SWEET PEPPER 100 PAX.docx,Water,3.0,l,100,224894,0.03,l
Mix Vegetable Curry KBR-384 ONEGO V3,RCP-101-MIXVEGETAB-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Mix Vegetable Curry. 100 pax.docx,Water / vegetable stock,5.0,l,100,224894,0.05,l
